time,Chaikin A/D
2022-01-14,78039632445.5410
2022-01-13,78001654828.2176
2022-01-12,78072163774.9671
2022-01-11,78101959055.7382
2022-01-10,78029504750.7841
2022-01-07,77938026645.0289
2022-01-06,77961167671.3987
2022-01-05,78039008553.2839
2022-01-04,78123972727.2333
2022-01-03,78193126068.8773
2021-12-31,78123662783.6548
2021-12-30,78165918080.3807
2021-12-29,78220388649.5904
2021-12-28,78220639046.9036
2021-12-27,78256819316.1608
2021-12-23,78185925263.9399
2021-12-22,78166883726.4143
2021-12-21,78085675521.3442
2021-12-20,78003876400.6824
2021-12-17,77953572328.1055
2021-12-16,77999184134.4759
2021-12-15,78105716344.5731
2021-12-14,77981945317.9743
2021-12-13,78014459005.6379
2021-12-10,78157944577.9743
2021-12-09,78050951762.5937
2021-12-08,78110609640.8446
2021-12-07,78032758661.0917
2021-12-06,77942083025.6349
2021-12-03,77987468914.9490
2021-12-02,78009992410.3689
2021-12-01,77892054872.7939
2021-11-30,78031797972.5980
2021-11-29,77871425120.9980
2021-11-26,77852938836.7036
2021-11-24,77912963679.9505
2021-11-23,77854614236.6305
2021-11-22,77785913730.0974
2021-11-19,77902381892.3825
2021-11-18,77809650029.8227
2021-11-17,77711061551.9828
2021-11-16,77689136631.7833
2021-11-15,77656805031.1688
2021-11-12,77688471101.3443
2021-11-11,77642986541.8580
2021-11-10,77675125439.1993
2021-11-09,77736309815.0239
2021-11-08,77730854710.1748
2021-11-05,77764023318.5436
2021-11-04,77754846138.6837
2021-11-03,77793647148.9982
2021-11-02,77763475648.8175
2021-11-01,77767724288.3139
2021-10-29,77751499787.5275
2021-10-28,77636465786.8887
2021-10-27,77570957619.2345
2021-10-26,77594481299.1143
2021-10-25,77634749672.9066
2021-10-22,77626371167.2072
2021-10-21,77681431009.9939
2021-10-20,77631114379.7841
2021-10-19,77608013590.9548
2021-10-18,77555539541.6198
2021-10-15,77483439964.8573
2021-10-14,77420895614.0612
2021-10-13,77358067714.0859
2021-10-12,77314390205.1713
2021-10-11,77356366242.3230
2021-10-08,77377850315.3087
2021-10-07,77411924288.8986
2021-10-06,77426583213.9238
2021-10-05,77349966945.6286
2021-10-04,77332559355.8929
2021-10-01,77387459969.4818
2021-09-30,77306234224.4824
2021-09-29,77382642427.4907
2021-09-28,77407920806.0341
2021-09-27,77501223920.6751
2021-09-24,77467960042.2274
2021-09-23,77445284933.0283
2021-09-22,77402960016.5262
2021-09-21,77359021712.9587
2021-09-20,77380688559.2206
2021-09-17,77388643780.1013
2021-09-16,77493048128.8388
2021-09-15,77439017578.1938
2021-09-14,77377980783.7890
2021-09-13,77423696061.0260
2021-09-10,77464734499.9920
2021-09-09,77594406149.9357
2021-09-08,77645344576.5817
2021-09-07,77664647697.1679
2021-09-03,77615051393.5345
2021-09-02,77581985070.1059
2021-09-01,77576463157.5449
2021-08-31,77646433436.0881
2021-08-30,77671052535.5947
2021-08-27,77593888430.4176
2021-08-26,77546805165.5308
2021-08-25,77593591284.9200
2021-08-24,77626364227.6822
2021-08-23,77648251332.6787
