time,ADX
2022-01-14,24.6068
2022-01-13,26.4627
2022-01-12,28.8856
2022-01-11,30.9264
2022-01-10,34.2322
2022-01-07,36.5840
2022-01-06,40.5492
2022-01-05,44.5983
2022-01-04,47.2016
2022-01-03,46.2908
2021-12-31,45.2958
2021-12-30,45.3345
2021-12-29,44.5816
2021-12-28,43.6996
2021-12-27,42.3939
2021-12-23,41.1512
2021-12-22,40.6703
2021-12-21,40.4116
2021-12-20,40.9075
2021-12-17,42.3348
2021-12-16,42.4388
2021-12-15,41.8216
2021-12-14,41.5372
2021-12-13,41.6655
2021-12-10,39.6394
2021-12-09,37.8517
2021-12-08,36.4600
2021-12-07,35.0833
2021-12-06,34.5842
2021-12-03,35.1033
2021-12-02,36.6779
2021-12-01,38.6992
2021-11-30,36.6358
2021-11-29,35.5994
2021-11-26,36.0994
2021-11-24,36.9932
2021-11-23,34.9423
2021-11-22,32.7644
2021-11-19,28.3390
2021-11-18,24.4565
2021-11-17,20.8825
2021-11-16,18.5605
2021-11-15,18.6830
2021-11-12,18.6922
2021-11-11,20.2238
2021-11-10,21.8523
2021-11-09,23.8462
2021-11-08,24.1450
2021-11-05,24.3328
2021-11-04,24.5413
2021-11-03,24.3318
2021-11-02,24.4141
2021-11-01,24.7696
2021-10-29,26.4827
2021-10-28,28.3861
2021-10-27,27.1595
2021-10-26,28.1256
2021-10-25,28.5477
2021-10-22,30.2276
2021-10-21,30.8501
2021-10-20,31.9555
2021-10-19,32.9015
2021-10-18,34.3457
2021-10-15,37.7221
2021-10-14,40.4766
2021-10-13,42.4075
2021-10-12,41.1765
2021-10-11,40.8289
2021-10-08,40.9396
2021-10-07,41.5688
2021-10-06,42.3740
2021-10-05,40.1819
2021-10-04,38.1589
2021-10-01,35.8639
2021-09-30,33.6454
2021-09-29,32.1738
2021-09-28,30.9352
2021-09-27,29.5590
2021-09-24,29.1815
2021-09-23,29.9190
2021-09-22,30.2980
2021-09-21,30.0023
2021-09-20,27.4818
2021-09-17,24.6811
2021-09-16,23.7678
2021-09-15,23.7935
2021-09-14,23.8221
2021-09-13,24.2243
2021-09-10,26.0398
2021-09-09,28.0571
2021-09-08,26.3739
2021-09-07,24.4658
2021-09-03,21.7569
2021-09-02,20.2627
2021-09-01,18.6024
2021-08-31,16.7577
2021-08-30,16.0910
2021-08-27,15.3502
2021-08-26,15.1965
2021-08-25,15.6797
2021-08-24,16.4928
2021-08-23,17.9076
2021-08-20,19.6436
2021-08-19,19.6831
2021-08-18,19.1130
2021-08-17,19.8121
2021-08-16,20.1085
2021-08-13,20.9383
2021-08-12,19.1181
2021-08-11,17.4102
2021-08-10,17.8124
2021-08-09,18.2592
2021-08-06,19.9510
2021-08-05,21.6891
2021-08-04,23.2315
2021-08-03,24.8200
2021-08-02,26.5851
2021-07-30,29.4781
2021-07-29,32.2702
2021-07-28,35.7419
2021-07-27,39.5994
2021-07-26,41.6935
2021-07-23,41.8099
2021-07-22,42.4871
2021-07-21,43.4997
2021-07-20,45.7260
2021-07-19,48.1997
2021-07-16,52.7742
2021-07-15,53.4911
2021-07-14,52.5816
2021-07-13,50.7040
2021-07-12,49.2415
2021-07-09,48.0108
2021-07-08,46.8851
2021-07-07,46.2509
2021-07-06,42.5609
2021-07-02,38.8270
2021-07-01,35.6149
2021-06-30,33.3709
2021-06-29,30.6370
2021-06-28,28.1447
2021-06-25,26.2404
2021-06-24,25.3037
2021-06-23,24.0279
2021-06-22,22.8855
2021-06-21,21.8143
2021-06-18,22.1601
2021-06-17,20.8519
2021-06-16,19.3983
2021-06-15,19.2604
2021-06-14,17.5953
2021-06-11,15.7934
2021-06-10,17.0469
2021-06-09,18.4396
2021-06-08,19.1520
2021-06-07,19.9435
2021-06-04,20.8202
2021-06-03,21.5606
2021-06-02,20.3478
2021-06-01,19.8471
2021-05-28,19.2909
2021-05-27,19.2116
2021-05-26,19.5959
2021-05-25,21.3107
2021-05-24,23.2160
2021-05-21,24.9554
2021-05-20,26.8880
2021-05-19,28.7979
2021-05-18,28.2613
2021-05-17,28.8098
2021-05-14,29.6682
2021-05-13,31.0433
2021-05-12,30.9499
2021-05-11,29.2692
2021-05-10,27.6084
2021-05-07,27.7341
2021-05-06,29.7747
2021-05-05,30.1337
2021-05-04,31.1339
2021-05-03,32.2453
2021-04-30,33.1500
2021-04-29,34.6115
2021-04-28,34.2040
2021-04-27,35.4975
2021-04-26,35.1627
2021-04-23,35.0738
2021-04-22,34.9751
2021-04-21,35.5952
2021-04-20,36.5948
