time,EMA
2022-01-14,174.3547
2022-01-13,175.0246
2022-01-12,174.8567
2022-01-11,174.5760
2022-01-10,175.0773
2022-01-07,176.4101
2022-01-06,177.1923
2022-01-05,178.1906
2022-01-04,177.8752
2022-01-03,176.8186
2021-12-31,176.5938
2021-12-30,176.2624
2021-12-29,175.5496
2021-12-28,174.7095
2021-12-27,173.4983
2021-12-23,172.7013
2021-12-22,172.0016
2021-12-21,171.7708
2021-12-20,171.8188
2021-12-17,172.6052
2021-12-16,173.1997
2021-12-15,171.8485
2021-12-14,171.1237
2021-12-13,170.2067
2021-12-10,167.7827
2021-12-09,166.1333
2021-12-08,164.1829
2021-12-07,162.4180
2021-12-06,160.9376
2021-12-03,160.1926
2021-12-02,159.3420
2021-12-01,159.4769
2021-11-30,157.6985
2021-11-29,157.1903
2021-11-26,156.7060
2021-11-24,156.0706
2021-11-23,155.0308
2021-11-22,153.6776
2021-11-19,151.8993
2021-11-18,150.6213
2021-11-17,149.9350
2021-11-16,149.6994
2021-11-15,149.6459
2021-11-12,149.4850
2021-11-11,149.7195
2021-11-10,149.8883
2021-11-09,149.8590
2021-11-08,149.7832
2021-11-05,149.4217
2021-11-04,148.8732
2021-11-03,148.3206
2021-11-02,147.9092
2021-11-01,147.7904
2021-10-29,147.5730
2021-10-28,147.7000
2021-10-27,147.2773
2021-10-26,146.8627
2021-10-25,146.3626
2021-10-22,145.8955
2021-10-21,145.1006
2021-10-20,144.3243
2021-10-19,143.4000
2021-10-18,142.6452
2021-10-15,142.5137
2021-10-14,142.2810
2021-10-13,142.3648
2021-10-12,142.6614
2021-10-11,142.5813
2021-10-08,142.6964
2021-10-07,142.4465
2021-10-06,142.3564
2021-10-05,143.0428
2021-10-04,143.8773
2021-10-01,144.3936
2021-09-30,144.9935
2021-09-29,145.3362
2021-09-28,146.0191
2021-09-27,146.6807
2021-09-24,146.9966
2021-09-23,147.3407
2021-09-22,147.5415
2021-09-21,148.2751
2021-09-20,149.2871
2021-09-17,150.5529
2021-09-16,150.9860
2021-09-15,151.5997
2021-09-14,152.3231
2021-09-13,152.8101
2021-09-10,153.3432
2021-09-09,153.0250
2021-09-08,152.5274
2021-09-07,151.5886
2021-09-03,150.8872
2021-09-02,150.2984
2021-09-01,149.5544
2021-08-31,148.8758
2021-08-30,148.0842
2021-08-27,147.9287
2021-08-26,148.0760
2021-08-25,148.0630
2021-08-24,147.7232
2021-08-23,147.3876
2021-08-20,147.2305
2021-08-19,147.2316
2021-08-18,147.7676
2021-08-17,147.3643
2021-08-16,146.7759
2021-08-13,146.4330
2021-08-12,145.9173
2021-08-11,145.9038
2021-08-10,145.9185
2021-08-09,145.8498
2021-08-06,145.8192
