time,RSI
2022-01-14,44.6289
2022-01-13,52.8692
2022-01-12,53.5507
2022-01-11,46.6313
2022-01-10,39.7433
2022-01-07,46.0308
2022-01-06,45.6449
2022-01-05,59.5941
2022-01-04,67.7365
2022-01-03,59.8990
2021-12-31,60.6029
2021-12-30,64.2962
2021-12-29,64.0972
2021-12-28,66.0624
2021-12-27,62.1979
2021-12-23,60.5751
2021-12-22,56.7754
2021-12-21,54.6988
2021-12-20,49.9237
2021-12-17,52.4296
2021-12-16,70.4691
2021-12-15,65.7372
2021-12-14,66.0570
2021-12-13,80.8963
2021-12-10,76.0085
2021-12-09,75.7296
2021-12-08,73.0689
2021-12-07,69.8123
2021-12-06,63.5769
2021-12-03,63.1912
2021-12-02,54.7495
2021-12-01,83.1471
2021-11-30,71.9078
2021-11-29,70.4525
2021-11-26,71.5096
2021-11-24,77.9025
2021-11-23,79.9100
2021-11-22,82.8171
2021-11-19,77.5204
2021-11-18,69.1541
2021-11-17,59.8979
2021-11-16,55.1959
2021-11-15,57.6766
2021-11-12,48.2290
2021-11-11,51.0298
2021-11-10,56.9867
2021-11-09,58.0218
2021-11-08,65.1854
2021-11-05,68.1912
2021-11-04,66.6633
2021-11-03,63.0861
2021-11-02,57.0570
2021-11-01,58.6773
2021-10-29,51.9951
2021-10-28,66.1680
2021-10-27,64.6360
2021-10-26,64.5418
2021-10-25,62.5982
2021-10-22,67.7951
2021-10-21,65.5525
2021-10-20,65.2805
2021-10-19,61.0255
2021-10-18,49.2073
2021-10-15,50.4628
2021-10-14,43.8808
2021-10-13,40.1055
2021-10-12,46.5285
2021-10-11,42.5434
2021-10-08,48.5086
2021-10-07,44.6597
2021-10-06,26.3130
2021-10-05,26.3568
2021-10-04,31.7583
2021-10-01,32.1237
2021-09-30,36.9316
2021-09-29,30.6120
2021-09-28,32.5352
2021-09-27,38.7752
2021-09-24,39.3567
2021-09-23,42.3335
2021-09-22,32.0553
2021-09-21,29.3776
2021-09-20,28.7457
2021-09-17,41.7165
2021-09-16,39.8680
2021-09-15,40.2307
2021-09-14,45.8267
2021-09-13,46.7420
2021-09-10,64.9700
2021-09-09,67.6316
2021-09-08,76.1714
2021-09-07,71.8570
2021-09-03,68.7959
2021-09-02,69.4136
2021-09-01,66.8834
2021-08-31,66.4754
2021-08-30,55.9632
2021-08-27,50.1168
2021-08-26,53.7959
2021-08-25,60.5043
2021-08-24,59.3802
2021-08-23,55.7945
2021-08-20,52.9413
2021-08-19,43.9166
2021-08-18,66.7035
2021-08-17,69.6349
2021-08-16,64.0263
2021-08-13,66.8795
2021-08-12,55.4643
2021-08-11,54.7576
2021-08-10,57.0264
2021-08-09,56.0171
2021-08-06,56.7671
2021-08-05,58.6959
2021-08-04,59.9945
2021-08-03,55.5372
2021-08-02,57.7175
2021-07-30,51.5554
2021-07-29,52.6185
2021-07-28,53.0218
2021-07-27,69.5679
2021-07-26,67.7835
2021-07-23,66.2759
2021-07-22,62.7578
2021-07-21,61.8598
2021-07-20,57.1017
2021-07-19,58.0142
2021-07-16,75.6974
2021-07-15,79.3000
2021-07-14,77.9176
2021-07-13,71.8845
2021-07-12,82.7879
2021-07-09,78.0271
2021-07-08,76.0075
2021-07-07,88.1989
2021-07-06,84.1414
2021-07-02,80.3293
2021-07-01,77.4003
2021-06-30,76.3521
2021-06-29,72.7245
2021-06-28,68.2814
2021-06-25,68.6434
2021-06-24,75.8050
2021-06-23,74.1369
2021-06-22,69.5856
2021-06-21,63.0566
2021-06-18,65.9096
2021-06-17,62.5225
2021-06-16,66.2322
2021-06-15,64.8147
2021-06-14,56.7613
2021-06-11,50.5647
2021-06-10,53.1696
2021-06-09,54.1430
2021-06-08,51.5817
2021-06-07,49.8030
2021-06-04,40.1370
2021-06-03,42.2646
2021-06-02,40.4001
2021-06-01,42.8935
2021-05-28,44.4042
2021-05-27,47.0524
2021-05-26,48.5964
2021-05-25,51.1329
2021-05-24,45.8059
2021-05-21,50.7887
2021-05-20,42.7714
2021-05-19,35.1749
2021-05-18,43.7621
2021-05-17,44.5100
2021-05-14,42.5737
2021-05-13,36.7544
2021-05-12,32.3980
2021-05-11,32.5691
2021-05-10,45.2924
2021-05-07,49.5360
2021-05-06,38.0076
2021-05-05,41.5234
2021-05-04,47.5349
2021-05-03,50.3364
2021-04-30,49.5173
2021-04-29,67.6226
2021-04-28,61.8391
2021-04-27,65.2380
2021-04-26,64.7901
2021-04-23,57.4760
2021-04-22,61.2501
2021-04-21,59.3959
