time,Chaikin A/D
2022-01-14,1801841609.8285
2022-01-13,1799753080.5178
2022-01-12,1802237377.7484
2022-01-11,1803132860.3718
2022-01-10,1801107569.4339
2022-01-07,1797005289.3350
2022-01-06,1798576773.9777
2022-01-05,1798784774.6127
2022-01-04,1801999910.6127
2022-01-03,1803894247.0188
2021-12-31,1801121148.2151
2021-12-30,1803232460.9348
2021-12-29,1804920043.8726
2021-12-28,1805885606.7435
2021-12-27,1805876051.3598
2021-12-23,1808101653.0900
2021-12-22,1808089558.3262
2021-12-21,1806908455.0256
2021-12-20,1804441271.7360
2021-12-17,1803578829.5426
2021-12-16,1800720608.1694
2021-12-15,1803044003.6968
2021-12-14,1799511296.8134
2021-12-13,1797458198.9330
2021-12-10,1799650859.7916
2021-12-09,1800770830.2106
2021-12-08,1803022650.9870
2021-12-07,1802663620.6118
2021-12-06,1801471735.5409
2021-12-03,1800398758.0228
2021-12-02,1801286785.0045
2021-12-01,1803245455.0297
2021-11-30,1806867772.4951
2021-11-29,1809583540.9409
2021-11-26,1809804287.8735
2021-11-24,1812776621.8774
2021-11-23,1812463450.5538
2021-11-22,1812015665.8450
2021-11-19,1816526718.8939
2021-11-18,1821375628.9219
2021-11-17,1816320509.9068
2021-11-16,1818434665.3108
2021-11-15,1819308768.0910
2021-11-12,1820528085.5475
2021-11-11,1818768593.2428
2021-11-10,1820732353.5472
2021-11-09,1823687003.4044
2021-11-08,1821046743.6679
2021-11-05,1824045184.4052
2021-11-04,1824339056.8456
2021-11-03,1820718633.9513
2021-11-02,1818083196.5711
2021-11-01,1817499526.4082
2021-10-29,1818852192.3557
2021-10-28,1812671568.0460
2021-10-27,1810944215.9318
2021-10-26,1811911930.2731
2021-10-25,1812209668.0374
2021-10-22,1812421144.0098
2021-10-21,1815289424.2221
2021-10-20,1813939954.4018
2021-10-19,1815073704.0653
2021-10-18,1814226277.4152
2021-10-15,1811292933.4297
2021-10-14,1806249281.0484
2021-10-13,1806603542.8816
2021-10-12,1804907108.5373
2021-10-11,1805439796.5656
2021-10-08,1806861758.9632
2021-10-07,1808809464.3086
2021-10-06,1809032165.1930
2021-10-05,1806678793.6833
2021-10-04,1807867953.6454
2021-10-01,1811211196.4713
2021-09-30,1811136335.8331
2021-09-29,1812815165.5412
2021-09-28,1815065722.1057
2021-09-27,1816599065.2900
2021-09-24,1813899543.5812
2021-09-23,1812224727.0842
2021-09-22,1811106290.6119
2021-09-21,1809595077.6787
2021-09-20,1811054583.0843
2021-09-17,1811568642.0500
2021-09-16,1814066557.7302
2021-09-15,1811962859.5458
2021-09-14,1809688240.2129
2021-09-13,1810655449.9346
2021-09-10,1811581777.5726
2021-09-09,1813321678.6678
2021-09-08,1815744857.5193
2021-09-07,1815152030.6418
2021-09-03,1814425871.4394
2021-09-02,1812362877.6094
2021-09-01,1814454360.3161
2021-08-31,1817556896.3022
2021-08-30,1813403054.5262
2021-08-27,1811876978.4237
2021-08-26,1809809707.8220
2021-08-25,1809576512.1553
2021-08-24,1810000325.3473
2021-08-23,1808660244.2664
2021-08-20,1806777824.7815
2021-08-19,1805066650.7022
2021-08-18,1808058107.5780
2021-08-17,1810735933.6417
2021-08-16,1812111253.1911
2021-08-13,1808858415.2941
2021-08-12,1808957651.0735
2021-08-11,1807775009.6627
2021-08-10,1809313325.0729
2021-08-09,1811088513.7622
2021-08-06,1811060805.3100
2021-08-05,1811873244.9057
2021-08-04,1810756708.3794
2021-08-03,1812017064.4505
2021-08-02,1810116343.4538
2021-07-30,1811153240.8393
2021-07-29,1814402323.9724
2021-07-28,1815758856.7877
2021-07-27,1815695150.4846
2021-07-26,1816867231.7868
2021-07-23,1815064027.3894
2021-07-22,1813674782.5980
2021-07-21,1810634471.3072
2021-07-20,1808450910.3764
2021-07-19,1806850347.6954
2021-07-16,1803157680.1743
2021-07-15,1806861758.2785
2021-07-14,1809167759.1464
2021-07-13,1810045163.3754
2021-07-12,1813434520.8317
2021-07-09,1814156433.7014
2021-07-08,1814342928.4541
2021-07-07,1811294424.5555
2021-07-06,1813216921.1534
2021-07-02,1807311800.9080
2021-07-01,1804197958.3406
2021-06-30,1804218534.6336
2021-06-29,1805944714.8959
2021-06-28,1804849711.2723
2021-06-25,1803141439.9178
2021-06-24,1806270136.2904
2021-06-23,1808615965.3919
2021-06-22,1808359936.4755
2021-06-21,1806827494.5665
2021-06-18,1807379144.7832
2021-06-17,1808468416.7168
2021-06-16,1804181922.8636
2021-06-15,1801430198.7041
2021-06-14,1800988789.5130
2021-06-11,1798536456.1353
2021-06-10,1799078156.4745
2021-06-09,1795736057.2333
2021-06-08,1796282339.5771
2021-06-07,1794578592.4477
2021-06-04,1793599451.1092
2021-06-03,1794346663.8234
2021-06-02,1796274842.4909
2021-06-01,1794411034.7309
2021-05-28,1795729241.3936
2021-05-27,1797505275.9977
2021-05-26,1800054605.1244
2021-05-25,1801586710.0443
2021-05-24,1800376259.0501
2021-05-21,1799276910.4660
2021-05-20,1802546848.9884
2021-05-19,1802602863.3834
2021-05-18,1800234687.9391
2021-05-17,1802930720.0806
2021-05-14,1802070170.6996
2021-05-13,1799609393.4061
2021-05-12,1800268069.1585
2021-05-11,1802719124.6849
2021-05-10,1799276107.9313
2021-05-07,1805053185.8675
2021-05-06,1809191375.2416
2021-05-05,1805806625.6368
2021-05-04,1809010137.4683
2021-05-03,1809938893.0934
2021-04-30,1814392379.8043
2021-04-29,1820647933.8410
2021-04-28,1821307915.5935
2021-04-27,1821156565.4998
2021-04-26,1822585800.7151
2021-04-23,1819652170.3605
2021-04-22,1819735812.0820
2021-04-21,1821767909.2761
2021-04-20,1819619647.8239
2021-04-19,1820779044.4133
2021-04-16,1822652010.6453
2021-04-15,1820381771.8636
2021-04-14,1819722112.8919
2021-04-13,1822303732.4046
2021-04-12,1824822747.4255
2021-04-09,1823881352.1915
2021-04-08,1819539879.1915
2021-04-07,1821088691.8376
2021-04-06,1819769764.7221
2021-04-05,1821170715.7756
2021-04-01,1818659344.0868
2021-03-31,1815899621.4342
2021-03-30,1815555008.3482
2021-03-29,1815340428.3805
2021-03-26,1813951595.1105
2021-03-25,1811144402.6674
2021-03-24,1813813079.8921
2021-03-23,1816620883.5765
2021-03-22,1818359417.1845
2021-03-19,1816827844.8909
2021-03-18,1812557084.8420
2021-03-17,1815975445.2321
2021-03-16,1815120511.0402
2021-03-15,1816127887.7944
2021-03-12,1813274476.7125
2021-03-11,1811712114.4088
2021-03-10,1811003688.3892
2021-03-09,1812092451.6281
2021-03-08,1810702689.2277
2021-03-05,1814840409.0017
2021-03-04,1810170893.3375
2021-03-03,1812525977.6920
2021-03-02,1815807325.1704
2021-03-01,1817899569.8401
2021-02-26,1815528226.7144
2021-02-25,1814204961.8765
2021-02-24,1817970510.1064
2021-02-23,1816496069.0214
2021-02-22,1812679964.2905
2021-02-19,1815163821.5476
2021-02-18,1819061791.5624
2021-02-17,1816953515.2021
2021-02-16,1814995151.3486
2021-02-12,1816124218.4401
2021-02-11,1814041617.4486
2021-02-10,1814869163.8437
2021-02-09,1814810271.3180
2021-02-08,1816212525.6307
2021-02-05,1817447126.9035
2021-02-04,1816248638.9681
2021-02-03,1814274167.8887
2021-02-02,1820920818.8248
2021-02-01,1823600289.8499
2021-01-29,1819972943.1176
2021-01-28,1820721286.0207
2021-01-27,1823099926.1035
2021-01-26,1826055637.3306
2021-01-25,1824372981.3058
2021-01-22,1824964163.4396
2021-01-21,1826465548.4733
2021-01-20,1828489219.3675
2021-01-19,1824843267.7778
2021-01-15,1824808192.8014
2021-01-14,1827425360.3777
2021-01-13,1829760241.7702
2021-01-12,1828793768.0853
2021-01-11,1827970626.8769
2021-01-08,1830973679.4205
2021-01-07,1828595707.8136
2021-01-06,1831170275.1437
2021-01-05,1834608615.6136
2021-01-04,1832396569.6287
2020-12-31,1833870499.6118
2020-12-30,1834597852.6866
2020-12-29,1837443336.8338
2020-12-28,1836592168.5781
2020-12-24,1832687066.0312
2020-12-23,1833814281.5930
2020-12-22,1835730629.0167
2020-12-21,1835107911.4652
2020-12-18,1833887415.5015
2020-12-17,1835252669.0914
2020-12-16,1836262035.9568
2020-12-15,1832476349.8810
2020-12-14,1831831773.6988
2020-12-11,1831994859.7671
2020-12-10,1829230952.7169
2020-12-09,1829924090.5735
2020-12-08,1832487646.8512
2020-12-07,1829902585.8577
2020-12-04,1830356795.9473
2020-12-03,1832706148.6953
2020-12-02,1834935823.3860
2020-12-01,1834839935.6799
2020-11-30,1833173643.3990
2020-11-27,1833879414.8863
2020-11-25,1835303784.0722
2020-11-24,1833210987.9579
2020-11-23,1832049362.7065
2020-11-20,1832583419.0163
2020-11-19,1835700785.4428
2020-11-18,1833780440.7877
2020-11-17,1836637101.3745
2020-11-16,1840030793.8110
2020-11-13,1837488503.2610
2020-11-12,1835450852.4759
2020-11-11,1837463953.6109
2020-11-10,1833268974.0708
2020-11-09,1837693022.8504
2020-11-06,1842311684.4751
2020-11-05,1838762157.0951
2020-11-04,1839629955.4627
2020-11-03,1833271052.6151
2020-11-02,1831136052.5384
2020-10-30,1832304587.5367
2020-10-29,1838754872.6237
2020-10-28,1838700402.6255
2020-10-27,1844254613.8210
2020-10-26,1840532787.3414
2020-10-23,1841543005.2864
2020-10-22,1838175017.7785
2020-10-21,1836414212.1471
2020-10-20,1837905957.6675
2020-10-19,1839368144.1146
2020-10-16,1843481991.5750
2020-10-15,1843866696.7427
2020-10-14,1841015415.5598
2020-10-13,1844630949.1389
2020-10-12,1847103436.7919
2020-10-09,1844430672.7747
2020-10-08,1839774763.5592
2020-10-07,1841254692.7691
2020-10-06,1837494649.0834
2020-10-05,1841480090.9591
2020-10-02,1838112406.6750
2020-10-01,1843417077.8688
2020-09-30,1838969119.9565
2020-09-29,1842035622.0532
2020-09-28,1843987263.7244
2020-09-25,1839907622.9245
