time,ADX
2022-01-14,18.5050
2022-01-13,17.2113
2022-01-12,16.3141
2022-01-11,16.9157
2022-01-10,17.2356
2022-01-07,13.8896
2022-01-06,12.9389
2022-01-05,11.4191
2022-01-04,11.3698
2022-01-03,12.2363
2021-12-31,13.3681
2021-12-30,13.3381
2021-12-29,14.6633
2021-12-28,16.0666
2021-12-27,17.1700
2021-12-23,18.3318
2021-12-22,20.2755
2021-12-21,22.4352
2021-12-20,24.1883
2021-12-17,24.1264
2021-12-16,24.0637
2021-12-15,25.1696
2021-12-14,26.0317
2021-12-13,23.9587
2021-12-10,22.6323
2021-12-09,21.7183
2021-12-08,22.4802
2021-12-07,23.6694
2021-12-06,24.9907
2021-12-03,23.6829
2021-12-02,22.0656
2021-12-01,22.0361
2021-11-30,22.4441
2021-11-29,24.2506
2021-11-26,26.4070
2021-11-24,28.8030
2021-11-23,30.4682
2021-11-22,32.3184
2021-11-19,33.2090
2021-11-18,30.1767
2021-11-17,27.5239
2021-11-16,26.7282
2021-11-15,26.1062
2021-11-12,25.3855
2021-11-11,25.8548
2021-11-10,25.5378
2021-11-09,25.1855
2021-11-08,23.2981
2021-11-05,21.4428
2021-11-04,19.5822
2021-11-03,18.6683
2021-11-02,20.0733
2021-11-01,20.8783
2021-10-29,22.0106
2021-10-28,23.2352
2021-10-27,23.4662
2021-10-26,24.9306
2021-10-25,27.2128
2021-10-22,28.1744
2021-10-21,30.3185
2021-10-20,31.6784
2021-10-19,33.1894
2021-10-18,33.8461
2021-10-15,34.7229
2021-10-14,36.7676
2021-10-13,38.7644
2021-10-12,39.6213
2021-10-11,39.3083
2021-10-08,39.0045
2021-10-07,39.9882
2021-10-06,41.0813
2021-10-05,38.5965
2021-10-04,35.8950
2021-10-01,32.8934
2021-09-30,30.8996
2021-09-29,29.0723
2021-09-28,27.5829
2021-09-27,25.9279
2021-09-24,25.2634
2021-09-23,26.1822
2021-09-22,27.1887
2021-09-21,26.3292
2021-09-20,24.8811
2021-09-17,23.2721
2021-09-16,25.3253
2021-09-15,27.8407
2021-09-14,30.9072
2021-09-13,32.6291
2021-09-10,34.5275
2021-09-09,35.3863
2021-09-08,35.4176
2021-09-07,34.6348
2021-09-03,34.1456
2021-09-02,34.6935
2021-09-01,34.3979
2021-08-31,33.0639
2021-08-30,32.7113
2021-08-27,32.9905
2021-08-26,36.4142
2021-08-25,39.7671
2021-08-24,42.9762
2021-08-23,46.2941
2021-08-20,48.3688
2021-08-19,46.1000
2021-08-18,43.6740
2021-08-17,41.2237
2021-08-16,38.8811
2021-08-13,36.2782
2021-08-12,34.6102
2021-08-11,32.7568
2021-08-10,30.8462
2021-08-09,29.4343
2021-08-06,28.1390
2021-08-05,26.7097
2021-08-04,25.3320
2021-08-03,23.8784
2021-08-02,22.2633
2021-07-30,19.4189
2021-07-29,16.2584
2021-07-28,17.8967
2021-07-27,19.3362
2021-07-26,20.9358
2021-07-23,20.5818
2021-07-22,21.3794
2021-07-21,23.0138
2021-07-20,24.5719
2021-07-19,26.3031
2021-07-16,26.7903
2021-07-15,29.2634
2021-07-14,31.2651
2021-07-13,31.8411
2021-07-12,32.0248
2021-07-09,31.1203
2021-07-08,30.2868
2021-07-07,29.3608
2021-07-06,26.0300
2021-07-02,22.9070
2021-07-01,22.9857
2021-06-30,25.1991
2021-06-29,26.3369
2021-06-28,28.2388
2021-06-25,30.6783
2021-06-24,33.3888
2021-06-23,34.7960
2021-06-22,33.5227
2021-06-21,32.1080
2021-06-18,31.4818
2021-06-17,28.3878
2021-06-16,25.1130
2021-06-15,22.9095
2021-06-14,21.2510
2021-06-11,19.7521
2021-06-10,18.6230
2021-06-09,17.8329
2021-06-08,18.8170
2021-06-07,20.6554
2021-06-04,19.3327
2021-06-03,18.8783
2021-06-02,17.9480
2021-06-01,17.8318
2021-05-28,17.7435
2021-05-27,18.0319
2021-05-26,18.7185
2021-05-25,20.5243
2021-05-24,21.8866
2021-05-21,22.4946
2021-05-20,23.1196
2021-05-19,24.9516
2021-05-18,26.0879
2021-05-17,28.7294
2021-05-14,31.0107
2021-05-13,31.0525
2021-05-12,29.9545
2021-05-11,28.7362
2021-05-10,27.3827
2021-05-07,26.9824
2021-05-06,28.9507
2021-05-05,30.5371
2021-05-04,32.7604
2021-05-03,35.4315
2021-04-30,37.2165
2021-04-29,34.8429
2021-04-28,32.8947
2021-04-27,31.2133
2021-04-26,29.9866
2021-04-23,29.3809
2021-04-22,30.2821
2021-04-21,31.3529
2021-04-20,32.8488
2021-04-19,33.9925
2021-04-16,33.2471
2021-04-15,33.0539
2021-04-14,33.0563
2021-04-13,33.0591
2021-04-12,29.9701
2021-04-09,27.0207
2021-04-08,24.0617
2021-04-07,21.5008
2021-04-06,19.0016
2021-04-05,17.2624
2021-04-01,15.5566
2021-03-31,15.3257
2021-03-30,16.2854
2021-03-29,17.3085
2021-03-26,18.4453
2021-03-25,18.5430
2021-03-24,19.7244
2021-03-23,21.3596
2021-03-22,21.9676
2021-03-19,24.2249
2021-03-18,25.3874
2021-03-17,26.9141
2021-03-16,29.8687
2021-03-15,31.7271
2021-03-12,31.9375
2021-03-11,32.4805
2021-03-10,33.9808
2021-03-09,35.0858
2021-03-08,35.3766
2021-03-05,34.7054
2021-03-04,31.6497
2021-03-03,29.0150
2021-03-02,26.7988
2021-03-01,26.1256
2021-02-26,24.7138
2021-02-25,21.8289
2021-02-24,18.8007
2021-02-23,16.8877
2021-02-22,14.7622
2021-02-19,14.2977
2021-02-18,15.3855
2021-02-17,15.3058
2021-02-16,15.8179
2021-02-12,16.8305
2021-02-11,18.4264
2021-02-10,20.2191
2021-02-09,22.0064
2021-02-08,22.4207
2021-02-05,22.6514
2021-02-04,22.9076
2021-02-03,23.8478
2021-02-02,23.9561
2021-02-01,22.3424
2021-01-29,21.9365
2021-01-28,24.2674
2021-01-27,25.4587
2021-01-26,26.7824
2021-01-25,25.0262
2021-01-22,23.0748
2021-01-21,21.7336
2021-01-20,19.9714
2021-01-19,19.4849
2021-01-15,19.3221
2021-01-14,19.0080
2021-01-13,19.5393
2021-01-12,20.1811
2021-01-11,18.5600
2021-01-08,17.4185
2021-01-07,17.1266
2021-01-06,17.2130
2021-01-05,16.8281
2021-01-04,17.4108
2020-12-31,18.0582
2020-12-30,17.7885
2020-12-29,15.3343
2020-12-28,12.6075
2020-12-24,10.7321
2020-12-23,11.1630
2020-12-22,12.3981
2020-12-21,13.7705
2020-12-18,15.2954
2020-12-17,16.7635
2020-12-16,16.2098
2020-12-15,16.1293
2020-12-14,17.5509
2020-12-11,19.1304
2020-12-10,17.2082
2020-12-09,15.1637
2020-12-08,13.2207
2020-12-07,11.9896
2020-12-04,11.3089
2020-12-03,11.1119
2020-12-02,11.6546
2020-12-01,12.2575
2020-11-30,12.9275
2020-11-27,13.0190
2020-11-25,14.0030
2020-11-24,15.4966
2020-11-23,15.0994
2020-11-20,14.6580
2020-11-19,14.9094
2020-11-18,14.9601
2020-11-17,15.5220
2020-11-16,16.7820
2020-11-13,17.0622
2020-11-12,17.6054
2020-11-11,18.2201
2020-11-10,18.1495
2020-11-09,17.5595
2020-11-06,18.1567
2020-11-05,19.5067
2020-11-04,19.8637
2020-11-03,21.7386
2020-11-02,19.1718
2020-10-30,16.3199
2020-10-29,14.0945
2020-10-28,14.5337
2020-10-27,15.0218
2020-10-26,16.5545
2020-10-23,18.3035
2020-10-22,18.0120
2020-10-21,17.4806
2020-10-20,17.6404
2020-10-19,18.4793
2020-10-16,19.4260
2020-10-15,20.4779
2020-10-14,21.4510
2020-10-13,21.0238
2020-10-12,18.0246
2020-10-09,14.6922
2020-10-08,14.2592
2020-10-07,15.2132
2020-10-06,16.5560
2020-10-05,17.5030
2020-10-02,18.9346
2020-10-01,20.7019
2020-09-30,21.2629
2020-09-29,22.1267
2020-09-28,23.6047
2020-09-25,25.5179
2020-09-24,27.4554
2020-09-23,28.8280
2020-09-22,30.8459
2020-09-21,33.2233
2020-09-18,31.3787
2020-09-17,29.7274
2020-09-16,28.7439
2020-09-15,29.2986
2020-09-14,30.5955
2020-09-11,32.0365
2020-09-10,33.6376
2020-09-09,36.9788
2020-09-08,39.6511
2020-09-04,41.3623
2020-09-03,43.2637
2020-09-02,47.1963
2020-09-01,44.6663
2020-08-31,42.2603
2020-08-28,39.7994
2020-08-27,37.8570
2020-08-26,35.6989
2020-08-25,33.3168
2020-08-24,32.0465
2020-08-21,30.6351
2020-08-20,30.2677
2020-08-19,29.8944
2020-08-18,28.8049
2020-08-17,27.5944
2020-08-14,28.5509
2020-08-13,30.0022
2020-08-12,30.4800
2020-08-11,31.9087
2020-08-10,33.8224
2020-08-07,35.1307
2020-08-06,35.4161
2020-08-05,34.9737
2020-08-04,34.9389
2020-08-03,35.5551
2020-07-31,36.1684
2020-07-30,35.6753
2020-07-29,37.2230
2020-07-28,39.8826
2020-07-27,42.8377
2020-07-24,45.6895
2020-07-23,49.9086
2020-07-22,52.8581
2020-07-21,53.6812
2020-07-20,53.4084
2020-07-17,53.4391
2020-07-16,55.4857
2020-07-15,57.7596
2020-07-14,58.6750
2020-07-13,59.6921
2020-07-10,56.9903
2020-07-09,54.5091
2020-07-08,51.8557
2020-07-07,49.5495
2020-07-06,47.0862
2020-07-02,44.4123
2020-07-01,42.2171
2020-06-30,40.3542
2020-06-29,39.9675
2020-06-26,41.0310
2020-06-25,39.2185
2020-06-24,37.6426
2020-06-23,35.4011
2020-06-22,33.0941
2020-06-19,31.6451
2020-06-18,30.3710
2020-06-17,29.7253
2020-06-16,29.1046
2020-06-15,29.1488
2020-06-12,30.0247
2020-06-11,30.9980
2020-06-10,30.9519
2020-06-09,27.1072
2020-06-08,24.1051
2020-06-05,22.9558
2020-06-04,23.1240
2020-06-03,22.5163
2020-06-02,22.5347
2020-06-01,23.0892
2020-05-29,23.7052
2020-05-28,25.6356
2020-05-27,27.9835
2020-05-26,30.7205
2020-05-22,30.6131
2020-05-21,29.5204
2020-05-20,27.5499
2020-05-19,25.9360
2020-05-18,24.4972
2020-05-15,24.3046
2020-05-14,24.7923
2020-05-13,25.9911
2020-05-12,27.3231
2020-05-11,28.1028
2020-05-08,28.2728
2020-05-07,29.2570
2020-05-06,30.6314
2020-05-05,32.6098
2020-05-04,34.9585
2020-05-01,38.1082
2020-04-30,41.5637
2020-04-29,41.3087
2020-04-28,42.4592
2020-04-27,44.1055
2020-04-24,43.7438
2020-04-23,43.7129
2020-04-22,43.6755
2020-04-21,44.0555
2020-04-20,44.4778
2020-04-17,41.2110
2020-04-16,37.8726
2020-04-15,33.4091
2020-04-14,29.2194
2020-04-13,24.8896
2020-04-09,21.2381
2020-04-08,19.5431
2020-04-07,17.8938
2020-04-06,16.2671
2020-04-03,15.4256
2020-04-02,16.9483
2020-04-01,18.6054
2020-03-31,20.3342
2020-03-30,20.2100
2020-03-27,20.6400
2020-03-26,22.1763
2020-03-25,23.8833
2020-03-24,25.9588
2020-03-23,27.8243
2020-03-20,30.8101
2020-03-19,33.8991
