time,EMA
2022-01-14,3290.2834
2022-01-13,3309.6797
2022-01-12,3310.7175
2022-01-11,3306.0991
2022-01-10,3323.0100
2022-01-07,3347.7434
2022-01-06,3363.5130
2022-01-05,3384.5137
2022-01-04,3394.9256
2022-01-03,3391.8513
2021-12-31,3400.9294
2021-12-30,3405.7759
2021-12-29,3408.3928
2021-12-28,3406.5245
2021-12-27,3407.1633
2021-12-23,3404.1463
2021-12-22,3403.1655
2021-12-21,3407.1144
2021-12-20,3418.2488
2021-12-17,3436.3041
2021-12-16,3454.5472
2021-12-15,3451.6973
2021-12-14,3469.4168
2021-12-13,3495.7316
2021-12-10,3508.1164
2021-12-09,3508.0667
2021-12-08,3506.5260
2021-12-07,3502.8628
2021-12-06,3505.2768
2021-12-03,3530.2272
2021-12-02,3546.9444
2021-12-01,3566.2653
2021-11-30,3570.9910
2021-11-29,3572.6556
2021-11-26,3578.2137
2021-11-24,3572.9068
2021-11-23,3575.1816
2021-11-22,3572.9908
2021-11-19,3550.0162
2021-11-18,3513.8664
2021-11-17,3502.2034
2021-11-16,3488.3108
2021-11-15,3477.0466
2021-11-12,3463.7236
2021-11-11,3458.9955
2021-11-10,3446.9945
2021-11-09,3421.0222
2021-11-08,3400.0827
2021-11-05,3372.7144
2021-11-04,3349.5398
2021-11-03,3344.9931
2021-11-02,3352.9915
2021-11-01,3361.4319
2021-10-29,3361.3501
2021-10-28,3374.9790
2021-10-27,3368.9532
2021-10-26,3364.7206
2021-10-25,3368.1007
2021-10-22,3375.4564
2021-10-21,3365.3356
2021-10-20,3354.4658
2021-10-19,3332.6448
2021-10-18,3310.0570
2021-10-15,3292.6569
2021-10-14,3288.4873
2021-10-13,3285.3836
2021-10-12,3288.8666
2021-10-11,3295.9481
2021-10-08,3300.6032
2021-10-07,3296.9595
2021-10-06,3298.1638
2021-10-05,3316.9713
2021-10-04,3341.9649
2021-10-01,3355.8704
2021-09-30,3370.7283
2021-09-29,3382.8902
2021-09-28,3396.3969
2021-09-27,3404.9940
2021-09-24,3412.4371
2021-09-23,3414.7542
2021-09-22,3422.4662
2021-09-21,3438.3476
2021-09-20,3452.4248
2021-09-17,3464.9637
2021-09-16,3459.7524
2021-09-15,3459.7062
2021-09-14,3463.5254
2021-09-13,3460.8533
2021-09-10,3455.9762
2021-09-09,3445.7863
2021-09-08,3427.9566
2021-09-07,3409.3581
2021-09-03,3394.1044
2021-09-02,3381.2387
2021-09-01,3356.0117
2021-08-31,3324.8152
2021-08-30,3302.5963
2021-08-27,3290.4122
2021-08-26,3280.8971
2021-08-25,3276.8742
2021-08-24,3269.5418
2021-08-23,3267.2178
2021-08-20,3279.5107
2021-08-19,3296.3191
2021-08-18,3319.0523
2021-08-17,3336.1772
2021-08-16,3349.2166
2021-08-13,3363.9314
2021-08-12,3376.8784
2021-08-11,3396.1847
2021-08-10,3410.5709
2021-08-09,3425.1400
2021-08-06,3443.2577
2021-08-05,3458.4261
2021-08-04,3481.1386
2021-08-03,3503.7583
2021-08-02,3539.9890
2021-07-30,3581.5199
2021-07-29,3633.4243
2021-07-28,3634.6853
2021-07-27,3634.8864
2021-07-26,3620.7501
2021-07-23,3609.1012
2021-07-22,3602.2348
2021-07-21,3605.5693
2021-07-20,3612.0569
2021-07-19,3621.9984
2021-07-16,3641.8691
2021-07-15,3643.7712
2021-07-14,3632.5648
2021-07-13,3615.6125
2021-07-12,3596.3931
2021-07-09,3563.5915
2021-07-08,3528.2741
2021-07-07,3502.6550
2021-07-06,3454.9389
2021-07-02,3438.2342
2021-07-01,3435.2552
2021-06-30,3435.3986
2021-06-29,3434.1405
2021-06-28,3433.1006
2021-06-25,3436.9007
2021-06-24,3430.8786
2021-06-23,3413.8206
2021-06-22,3393.5585
2021-06-21,3379.2248
2021-06-18,3357.6258
2021-06-17,3330.4338
2021-06-16,3314.2680
2021-06-15,3296.9942
2021-06-14,3277.6596
2021-06-11,3262.2884
2021-06-10,3242.8747
2021-06-09,3234.1779
2021-06-08,3225.5797
2021-06-07,3226.2396
2021-06-04,3232.6640
2021-06-03,3237.2560
2021-06-02,3244.5951
2021-06-01,3249.3717
2021-05-28,3250.6777
2021-05-27,3252.6060
2021-05-26,3251.8518
2021-05-25,3246.7988
2021-05-24,3242.3830
2021-05-21,3248.3570
2021-05-20,3247.9918
2021-05-19,3248.7891
2021-05-18,3260.7422
2021-05-17,3253.6683
2021-05-14,3255.3879
2021-05-13,3270.9052
2021-05-12,3289.8908
2021-05-11,3313.1998
2021-05-10,3352.5154
2021-05-07,3368.1143
2021-05-06,3379.0086
2021-05-05,3403.2327
2021-05-04,3417.5389
2021-05-03,3431.1720
2021-04-30,3419.2702
2021-04-29,3395.7481
2021-04-28,3371.4480
2021-04-27,3357.3698
2021-04-26,3338.2365
2021-04-23,3336.0668
2021-04-22,3339.8372
2021-04-21,3332.7610
2021-04-20,3336.4857
2021-04-19,3328.2380
2021-04-16,3314.4398
2021-04-15,3299.8709
2021-04-14,3284.0644
2021-04-13,3257.4032
2021-04-12,3225.5272
2021-04-09,3196.7088
2021-04-08,3172.7108
2021-04-07,3142.0020
2021-04-06,3121.6025
2021-04-05,3098.9030
2021-04-01,3082.4371
2021-03-31,3074.5475
2021-03-30,3076.8781
2021-03-29,3078.4043
2021-03-26,3083.5076
2021-03-25,3092.2738
2021-03-24,3096.5590
2021-03-23,3084.4521
2021-03-22,3074.9971
2021-03-19,3076.5853
2021-03-18,3087.1087
2021-03-17,3084.0218
2021-03-16,3086.4221
2021-03-15,3082.3004
2021-03-12,3084.0183
2021-03-11,3086.0223
2021-03-10,3082.0251
2021-03-09,3078.3751
2021-03-08,3091.7940
2021-03-05,3108.8593
2021-03-04,3131.9391
2021-03-03,3158.5923
2021-03-02,3175.7950
2021-03-01,3182.9784
2021-02-26,3195.2202
2021-02-25,3217.4469
2021-02-24,3235.3818
2021-02-23,3250.6333
2021-02-22,3278.1007
2021-02-19,3293.6498
2021-02-18,3285.9653
2021-02-17,3286.7531
2021-02-16,3291.8982
2021-02-12,3300.3090
2021-02-11,3311.4887
2021-02-10,3315.8196
2021-02-09,3316.2239
2021-02-08,3317.0537
2021-02-05,3307.8434
2021-02-04,3305.3641
2021-02-03,3299.8895
2021-02-02,3272.0849
2021-02-01,3248.1038
2021-01-29,3249.3802
2021-01-28,3253.6869
2021-01-27,3257.8306
2021-01-26,3239.2397
2021-01-25,3226.5472
2021-01-22,3203.8910
2021-01-21,3181.5757
2021-01-20,3156.8147
2021-01-19,3151.2202
2021-01-15,3161.0469
2021-01-14,3169.4973
2021-01-13,3169.9367
2021-01-12,3179.1582
2021-01-11,3192.3045
