time,RSI
2022-01-14,35.6403
2022-01-13,45.0169
2022-01-12,47.9662
2022-01-11,32.7791
2022-01-10,29.4391
2022-01-07,35.0087
2022-01-06,33.6599
2022-01-05,40.3127
2022-01-04,49.4170
2022-01-03,39.4128
2021-12-31,43.1523
2021-12-30,45.1944
2021-12-29,48.3498
2021-12-28,46.4076
2021-12-27,48.5426
2021-12-23,46.9779
2021-12-22,44.0667
2021-12-21,40.4615
2021-12-20,37.9230
2021-12-17,39.2173
2021-12-16,49.1429
2021-12-15,37.0538
2021-12-14,33.9496
2021-12-13,41.8337
2021-12-10,49.8309
2021-12-09,50.6807
2021-12-08,51.6338
2021-12-07,48.2424
2021-12-06,35.1839
2021-12-03,41.0167
2021-12-02,41.5162
2021-12-01,51.0241
2021-11-30,53.4205
2021-11-29,51.6696
2021-11-26,58.4617
2021-11-24,54.5701
2021-11-23,57.3121
2021-11-22,70.2904
2021-11-19,76.4881
2021-11-18,65.4341
2021-11-17,65.2704
2021-11-16,62.7665
2021-11-15,62.5777
2021-11-12,57.5390
2021-11-11,61.5555
2021-11-10,69.4867
2021-11-09,65.6833
2021-11-08,66.9169
2021-11-05,63.3296
2021-11-04,52.6330
2021-11-03,44.2961
2021-11-02,44.9984
2021-11-01,50.6219
2021-10-29,42.0100
2021-10-28,56.7202
2021-10-27,54.7511
2021-10-26,49.0546
2021-10-25,46.7815
2021-10-22,61.3937
2021-10-21,60.5226
2021-10-20,68.4295
2021-10-19,66.5484
2021-10-18,61.3685
2021-10-15,49.6042
2021-10-14,47.9416
2021-10-13,41.6096
2021-10-12,39.0184
2021-10-11,41.3577
2021-10-08,47.3147
2021-10-07,42.8215
2021-10-06,25.2389
2021-10-05,22.7646
2021-10-04,30.2331
2021-10-01,31.4250
2021-09-30,34.8991
2021-09-29,35.7033
2021-09-28,40.6104
2021-09-27,42.6543
2021-09-24,47.4049
2021-09-23,43.3152
2021-09-22,37.5322
2021-09-21,40.6130
2021-09-20,43.4197
2021-09-17,59.7827
2021-09-16,55.0930
2021-09-15,52.0059
2021-09-14,58.9087
2021-09-13,60.4950
2021-09-10,64.6047
2021-09-09,70.0485
2021-09-08,68.6355
2021-09-07,65.1727
2021-09-03,62.2765
2021-09-02,71.0179
2021-09-01,71.3629
2021-08-31,64.5889
2021-08-30,55.7175
2021-08-27,51.8160
2021-08-26,45.7276
2021-08-25,47.4409
2021-08-24,42.0735
2021-08-23,26.7180
2021-08-20,24.5975
2021-08-19,22.1077
2021-08-18,25.8476
2021-08-17,29.1307
2021-08-16,29.6558
2021-08-13,31.7808
2021-08-12,28.5978
2021-08-11,32.1711
2021-08-10,33.4002
2021-08-09,33.1629
2021-08-06,35.7311
2021-08-05,32.9346
2021-08-04,34.6036
2021-08-03,29.2114
2021-08-02,29.9231
2021-07-30,29.2780
2021-07-29,53.2410
2021-07-28,54.0998
2021-07-27,64.0857
2021-07-26,61.5883
2021-07-23,58.1592
2021-07-22,52.0273
2021-07-21,50.6894
2021-07-20,49.6349
2021-07-19,45.6194
2021-07-16,57.6045
2021-07-15,67.2109
2021-07-14,69.7288
2021-07-13,69.2511
2021-07-12,75.9466
2021-07-09,74.8235
2021-07-08,70.2240
2021-07-07,82.9791
2021-07-06,70.9187
2021-07-02,60.3141
2021-07-01,57.2707
2021-06-30,58.8079
2021-06-29,58.4594
2021-06-28,54.9659
2021-06-25,65.3737
2021-06-24,77.3594
2021-06-23,77.1311
2021-06-22,72.7314
2021-06-21,78.0150
2021-06-18,79.0195
2021-06-17,72.0507
2021-06-16,70.7792
2021-06-15,69.8972
2021-06-14,65.5493
2021-06-11,66.2022
2021-06-10,56.9444
2021-06-09,55.4607
2021-06-08,46.3030
2021-06-07,40.7921
2021-06-04,43.1024
2021-06-03,41.5237
2021-06-02,44.2045
2021-06-01,47.1666
2021-05-28,46.9320
2021-05-27,48.7567
2021-05-26,51.1326
2021-05-25,50.2021
2021-05-24,44.0027
2021-05-21,47.5983
2021-05-20,46.9657
2021-05-19,41.3385
2021-05-18,50.9475
2021-05-17,45.4967
2021-05-14,37.3932
2021-05-13,37.3807
2021-05-12,37.3219
2021-05-11,31.3063
2021-05-10,42.2443
2021-05-07,45.8764
2021-05-06,39.6408
2021-05-05,46.3872
2021-05-04,48.2478
2021-05-03,65.8824
2021-04-30,73.4773
2021-04-29,72.0393
2021-04-28,66.2582
2021-04-27,67.8146
2021-04-26,58.0492
2021-04-23,54.2690
2021-04-22,63.6624
2021-04-21,56.4837
2021-04-20,69.2142
2021-04-19,73.5474
2021-04-16,72.5939
2021-04-15,71.7968
2021-04-14,79.4298
2021-04-13,79.2377
2021-04-12,76.4051
2021-04-09,72.6941
2021-04-08,73.9795
2021-04-07,67.5595
2021-04-06,66.5926
2021-04-05,61.3577
2021-04-01,54.3772
2021-03-31,45.7457
2021-03-30,46.6223
2021-03-29,44.2684
2021-03-26,42.4857
2021-03-25,45.8408
2021-03-24,56.7162
2021-03-23,53.6693
2021-03-22,45.1133
2021-03-19,38.4320
2021-03-18,48.2568
2021-03-17,43.1983
2021-03-16,48.0279
2021-03-15,42.4869
2021-03-12,42.5447
2021-03-11,46.3713
2021-03-10,45.5261
2021-03-09,31.4581
2021-03-08,30.8610
2021-03-05,28.9990
2021-03-04,29.4995
2021-03-03,34.8494
2021-03-02,40.8535
2021-03-01,38.4671
2021-02-26,33.3921
2021-02-25,36.8698
2021-02-24,39.5478
2021-02-23,33.8219
2021-02-22,40.9494
2021-02-19,56.9427
2021-02-18,50.2759
2021-02-17,47.2563
2021-02-16,45.7518
2021-02-12,45.1547
2021-02-11,50.3247
2021-02-10,53.1960
2021-02-09,53.0304
2021-02-08,58.7265
2021-02-05,54.9911
2021-02-04,56.2674
2021-02-03,68.6542
2021-02-02,65.4073
2021-02-01,51.6133
2021-01-29,50.0020
2021-01-28,50.6206
2021-01-27,66.1863
2021-01-26,61.6912
2021-01-25,67.4375
2021-01-22,65.2449
2021-01-21,64.2314
2021-01-20,51.8206
2021-01-19,38.9398
2021-01-15,41.0499
2021-01-14,47.4823
2021-01-13,40.0585
2021-01-12,38.3651
2021-01-11,41.9008
2021-01-08,46.2855
2021-01-07,42.3842
2021-01-06,40.6084
2021-01-05,42.8131
2021-01-04,57.8686
2020-12-31,58.7628
2020-12-30,71.9758
2020-12-29,69.0260
2020-12-28,52.0807
2020-12-24,52.0603
2020-12-23,54.3679
2020-12-22,54.0114
2020-12-21,53.5827
2020-12-18,61.6057
2020-12-17,62.7615
2020-12-16,52.9895
2020-12-15,53.8489
2020-12-14,48.0886
2020-12-11,39.8511
2020-12-10,38.3948
2020-12-09,49.4871
2020-12-08,47.9449
2020-12-07,47.5570
2020-12-04,53.7760
2020-12-03,54.8985
2020-12-02,57.3025
2020-12-01,53.5545
2020-11-30,56.2321
2020-11-27,56.5863
2020-11-25,49.4290
2020-11-24,44.5213
2020-11-23,46.0978
2020-11-20,46.1269
2020-11-19,44.9855
2020-11-18,47.1902
2020-11-17,51.0809
2020-11-16,43.4259
2020-11-13,45.4671
2020-11-12,48.1514
2020-11-11,39.8894
2020-11-10,41.9252
2020-11-09,51.6289
2020-11-06,58.1890
2020-11-05,59.6087
2020-11-04,47.6023
2020-11-03,31.3665
2020-11-02,34.2872
2020-10-30,42.1325
2020-10-29,46.4703
2020-10-28,51.7638
2020-10-27,49.1181
2020-10-26,46.2652
2020-10-23,45.4521
2020-10-22,45.3434
2020-10-21,47.0323
2020-10-20,47.7237
2020-10-19,53.2996
2020-10-16,58.3473
2020-10-15,53.9538
2020-10-14,68.0025
2020-10-13,70.2314
2020-10-12,64.3102
2020-10-09,54.6961
2020-10-08,56.1544
2020-10-07,48.7752
2020-10-06,51.3691
2020-10-05,49.8357
2020-10-02,50.4174
2020-10-01,54.4067
2020-09-30,50.0308
2020-09-29,52.3471
2020-09-28,50.7572
2020-09-25,44.8973
2020-09-24,39.5922
2020-09-23,47.1542
2020-09-22,40.9968
2020-09-21,30.2400
2020-09-18,36.0592
