time,SlowD,SlowK
2022-01-14,66.9270,61.9331
2022-01-13,60.1204,71.4419
2022-01-12,42.3907,67.4061
2022-01-11,22.1924,41.5133
2022-01-10,12.7881,18.2528
2022-01-07,17.4302,6.8112
2022-01-06,26.1621,13.3003
2022-01-05,30.1467,32.1793
2022-01-04,21.7511,33.0068
2022-01-03,20.4394,25.2540
2021-12-31,27.5669,6.9925
2021-12-30,48.4497,29.0718
2021-12-29,61.3897,46.6362
2021-12-28,68.7848,69.6412
2021-12-27,61.4247,67.8916
2021-12-23,53.5683,68.8215
2021-12-22,42.7400,47.5609
2021-12-21,44.3277,44.3224
2021-12-20,43.7651,36.3368
2021-12-17,42.6392,52.3239
2021-12-16,34.0722,42.6345
2021-12-15,33.6038,32.9593
2021-12-14,45.4806,26.6227
2021-12-13,63.1931,41.2295
2021-12-10,72.4152,68.5896
2021-12-09,65.0260,79.7602
2021-12-08,45.3604,68.8956
2021-12-07,25.4486,46.4221
2021-12-06,12.0010,20.7635
2021-12-03,9.4334,9.1603
2021-12-02,10.6284,6.0791
2021-12-01,14.1656,13.0608
2021-11-30,14.8076,12.7455
2021-11-29,17.7604,16.6907
2021-11-26,23.9995,14.9867
2021-11-24,39.0858,21.6038
2021-11-23,57.4579,35.4080
2021-11-22,70.6987,60.2456
2021-11-19,71.8194,76.7202
2021-11-18,65.2120,75.1303
2021-11-17,53.2999,63.6076
2021-11-16,43.7191,56.8981
2021-11-15,41.3495,39.3940
2021-11-12,51.8060,34.8650
2021-11-11,67.6169,49.7896
2021-11-10,78.0443,70.7634
2021-11-09,79.7339,82.2977
2021-11-08,70.4551,81.0719
2021-11-05,53.9599,75.8321
2021-11-04,38.5863,54.4614
2021-11-03,37.3298,31.5863
2021-11-02,48.6656,29.7112
2021-11-01,60.5447,50.6919
2021-10-29,57.8317,65.5937
2021-10-28,43.1236,65.3485
2021-10-27,32.3880,42.5530
2021-10-26,35.7505,21.4692
2021-10-25,56.2882,33.1418
2021-10-22,74.7561,52.6405
2021-10-21,89.7215,83.0823
2021-10-20,92.3300,88.5455
2021-10-19,88.0944,97.5368
2021-10-18,74.0972,90.9076
2021-10-15,58.1807,75.8386
2021-10-14,49.6776,55.5454
2021-10-13,53.0598,43.1580
2021-10-12,62.6893,50.3294
2021-10-11,64.4170,65.6919
2021-10-08,52.4248,72.0465
2021-10-07,33.9306,55.5125
2021-10-06,18.8980,29.7155
2021-10-05,12.5650,16.5637
2021-10-04,10.7791,10.4146
2021-10-01,18.6725,10.7167
2021-09-30,36.3619,11.2061
2021-09-29,58.2331,34.0946
2021-09-28,68.3881,63.7849
2021-09-27,60.1000,76.8197
2021-09-24,43.9864,64.5597
2021-09-23,34.6330,38.9207
2021-09-22,40.5971,28.4789
2021-09-21,52.6525,36.4995
2021-09-20,56.2433,56.8129
2021-09-17,45.9636,64.6450
2021-09-16,30.7341,47.2721
2021-09-15,24.7490,25.9737
2021-09-14,33.0240,18.9566
2021-09-13,49.9719,29.3166
2021-09-10,66.7419,50.7988
2021-09-09,75.0712,69.8004
2021-09-08,76.3344,79.6266
2021-09-07,77.3817,75.7867
2021-09-03,81.5097,73.5899
2021-09-02,88.4687,82.7684
2021-09-01,91.3371,88.1707
2021-08-31,92.2631,94.4671
2021-08-30,90.5278,91.3736
2021-08-27,89.3732,90.9486
2021-08-26,81.0819,89.2613
2021-08-25,63.4894,87.9098
2021-08-24,36.9431,66.0744
2021-08-23,18.2183,36.4840
2021-08-20,15.5287,8.2709
2021-08-19,25.1817,9.9001
2021-08-18,35.1539,28.4150
2021-08-17,33.7384,37.2300
2021-08-16,27.1806,39.8167
2021-08-13,21.3194,24.1684
2021-08-12,24.7450,17.5568
2021-08-11,38.8045,22.2331
2021-08-10,47.9833,34.4450
2021-08-09,49.6493,59.7355
2021-08-06,34.2974,49.7693
2021-08-05,21.0275,39.4431
2021-08-04,10.8155,13.6799
2021-08-03,12.6087,9.9596
2021-08-02,20.5352,8.8069
2021-07-30,37.5802,19.0595
2021-07-29,57.5756,33.7393
2021-07-28,77.7230,59.9418
2021-07-27,83.5986,79.0458
2021-07-26,76.3899,94.1815
2021-07-23,55.6778,77.5686
2021-07-22,35.8059,57.4197
2021-07-21,19.6365,32.0453
2021-07-20,14.3076,17.9529
2021-07-19,17.6144,8.9112
2021-07-16,32.3022,16.0587
