time,ADX
2022-01-14,32.3624
2022-01-13,31.2124
2022-01-12,29.9699
2022-01-11,30.8477
2022-01-10,29.1411
2022-01-07,26.3995
2022-01-06,24.1460
2022-01-05,21.8636
2022-01-04,20.0713
2022-01-03,20.3266
2021-12-31,21.6930
2021-12-30,22.7996
2021-12-29,22.7318
2021-12-28,22.2724
2021-12-27,21.4926
2021-12-23,20.9175
2021-12-22,21.7475
2021-12-21,23.4407
2021-12-20,24.9037
2021-12-17,24.6077
2021-12-16,24.2787
2021-12-15,25.3188
2021-12-14,25.9039
2021-12-13,26.3635
2021-12-10,27.0307
2021-12-09,28.0044
2021-12-08,30.9504
2021-12-07,33.8383
2021-12-06,37.0470
2021-12-03,37.0550
2021-12-02,37.0639
2021-12-01,39.9226
2021-11-30,43.7217
2021-11-29,47.2754
2021-11-26,51.4408
2021-11-24,56.5083
2021-11-23,59.0567
2021-11-22,61.8883
2021-11-19,60.8580
2021-11-18,60.4806
2021-11-17,60.6287
2021-11-16,60.0047
2021-11-15,59.7173
2021-11-12,60.0011
2021-11-11,60.4656
2021-11-10,61.8488
2021-11-09,63.3856
2021-11-08,61.2140
2021-11-05,58.8994
2021-11-04,56.3276
2021-11-03,53.6632
2021-11-02,50.8511
2021-11-01,47.8599
2021-10-29,44.7205
2021-10-28,41.2323
2021-10-27,38.1039
2021-10-26,34.6279
2021-10-25,33.4208
2021-10-22,33.1782
2021-10-21,31.7214
2021-10-20,30.1248
2021-10-19,28.7544
2021-10-18,26.3814
2021-10-15,24.0209
2021-10-14,22.4637
2021-10-13,21.1089
2021-10-12,22.0125
2021-10-11,23.9931
2021-10-08,25.9634
2021-10-07,28.8205
2021-10-06,31.9172
2021-10-05,34.0901
2021-10-04,34.6412
2021-10-01,33.4791
2021-09-30,32.4667
2021-09-29,29.8692
2021-09-28,27.2635
2021-09-27,24.3683
2021-09-24,23.8198
2021-09-23,24.9460
2021-09-22,26.4955
2021-09-21,27.8160
2021-09-20,27.6231
2021-09-17,27.4087
2021-09-16,28.6395
2021-09-15,29.0036
2021-09-14,28.5159
2021-09-13,29.9861
2021-09-10,32.9856
2021-09-09,35.9357
2021-09-08,37.7672
2021-09-07,40.8405
2021-09-03,43.6093
2021-09-02,44.7064
2021-09-01,45.9254
2021-08-31,46.0025
2021-08-30,46.3467
2021-08-27,46.8291
2021-08-26,48.6821
2021-08-25,48.8358
2021-08-24,47.5406
2021-08-23,44.4056
2021-08-20,40.9591
2021-08-19,37.1297
2021-08-18,34.4887
2021-08-17,32.4342
2021-08-16,30.9626
2021-08-13,29.3275
2021-08-12,28.3599
2021-08-11,28.9338
2021-08-10,30.4816
2021-08-09,32.2014
2021-08-06,31.4556
2021-08-05,31.7963
2021-08-04,32.1750
2021-08-03,33.8801
2021-08-02,36.0165
2021-07-30,38.6825
2021-07-29,41.5144
2021-07-28,42.9407
2021-07-27,44.5254
2021-07-26,46.5259
2021-07-23,45.7713
2021-07-22,44.9329
2021-07-21,45.0328
2021-07-20,47.1691
2021-07-19,49.8232
2021-07-16,53.0668
2021-07-15,51.9692
2021-07-14,51.2081
2021-07-13,49.5236
2021-07-12,47.8413
2021-07-09,46.7932
2021-07-08,46.1866
2021-07-07,45.5125
2021-07-06,42.3204
2021-07-02,39.0074
2021-07-01,35.5810
2021-06-30,33.4466
2021-06-29,31.2575
2021-06-28,28.8251
2021-06-25,27.1765
2021-06-24,26.1131
2021-06-23,24.1731
2021-06-22,22.4502
2021-06-21,20.9888
2021-06-18,20.4603
2021-06-17,20.5330
2021-06-16,20.9126
2021-06-15,21.9662
2021-06-14,20.5640
2021-06-11,19.0227
2021-06-10,17.9069
2021-06-09,17.0973
2021-06-08,17.0430
2021-06-07,16.9827
2021-06-04,17.7330
2021-06-03,19.7009
2021-06-02,18.7097
2021-06-01,18.8771
2021-05-28,19.6169
2021-05-27,21.7511
2021-05-26,23.8725
2021-05-25,26.0151
2021-05-24,28.4864
2021-05-21,31.3339
2021-05-20,33.0794
2021-05-19,34.8233
2021-05-18,34.0856
2021-05-17,34.3810
2021-05-14,34.9086
2021-05-13,36.1275
2021-05-12,35.3816
2021-05-11,33.7739
2021-05-10,33.0720
2021-05-07,33.7246
2021-05-06,36.1347
2021-05-05,35.5922
2021-05-04,35.4023
2021-05-03,35.1913
2021-04-30,37.1810
2021-04-29,38.4398
2021-04-28,39.8384
2021-04-27,43.2509
2021-04-26,43.1781
2021-04-23,43.4621
2021-04-22,44.2329
2021-04-21,45.0894
2021-04-20,44.4061
2021-04-19,43.8083
2021-04-16,42.1796
2021-04-15,40.4908
2021-04-14,38.8769
2021-04-13,37.3540
2021-04-12,34.3092
2021-04-09,31.1999
2021-04-08,28.0583
2021-04-07,24.9283
2021-04-06,22.1449
2021-04-05,19.4149
2021-04-01,16.3817
2021-03-31,14.9431
2021-03-30,14.7769
2021-03-29,15.4655
