time,EMA
2022-01-14,318.3148
2022-01-13,321.4403
2022-01-12,321.6569
2022-01-11,322.0984
2022-01-10,324.0358
2022-01-07,327.2694
2022-01-06,330.1848
2022-01-05,333.9703
2022-01-04,335.7726
2022-01-03,335.9820
2021-12-31,336.1225
2021-12-30,335.5919
2021-12-29,334.1879
2021-12-28,332.6075
2021-12-27,330.2647
2021-12-23,329.1102
2021-12-22,328.3013
2021-12-21,328.3016
2021-12-20,329.4153
2021-12-17,331.4965
2021-12-16,333.8557
2021-12-15,333.4437
2021-12-14,334.5178
2021-12-13,334.8062
2021-12-10,333.5009
2021-12-09,333.1723
2021-12-08,332.8972
2021-12-07,332.3610
2021-12-06,332.5213
2021-12-03,334.4260
2021-12-02,334.9673
2021-12-01,336.0045
2021-11-30,336.1988
2021-11-29,336.3941
2021-11-26,336.7173
2021-11-24,337.2433
2021-11-23,337.4574
2021-11-22,337.5480
2021-11-19,335.9764
2021-11-18,334.4956
2021-11-17,333.6768
2021-11-16,332.5073
2021-11-15,331.9383
2021-11-12,330.8304
2021-11-11,330.2792
2021-11-10,330.1978
2021-11-09,329.3619
2021-11-08,327.7775
2021-11-05,325.7982
2021-11-04,323.1106
2021-11-03,321.0724
2021-11-02,318.3572
2021-11-01,315.8350
2021-10-29,312.5205
2021-10-28,310.0721
2021-10-27,307.0363
2021-10-26,305.1725
2021-10-25,304.0036
2021-10-22,302.9388
2021-10-21,301.4066
2021-10-20,300.2504
2021-10-19,298.3848
2021-10-18,296.2958
2021-10-15,294.8024
2021-10-14,293.2500
2021-10-13,292.0469
2021-10-12,291.5302
2021-10-11,290.8034
2021-10-08,290.4518
2021-10-07,289.2904
2021-10-06,288.1024
2021-10-05,288.7344
2021-10-04,289.8913
2021-10-01,290.5615
2021-09-30,292.5514
2021-09-29,294.1876
2021-09-28,296.3227
2021-09-27,297.8908
2021-09-24,298.3999
2021-09-23,298.5587
2021-09-22,298.6162
2021-09-21,299.1568
2021-09-20,300.0471
2021-09-17,300.9933
2021-09-16,300.4108
2021-09-15,299.7897
2021-09-14,299.1415
2021-09-13,299.1700
2021-09-10,299.6506
2021-09-09,300.0462
2021-09-08,299.9962
2021-09-07,300.1659
2021-09-03,300.1015
2021-09-02,300.0261
2021-09-01,299.6655
2021-08-31,299.0774
2021-08-30,298.0136
2021-08-27,297.4465
2021-08-26,297.2254
2021-08-25,296.5109
2021-08-24,294.9034
2021-08-23,292.7789
2021-08-20,290.5761
2021-08-19,288.6657
2021-08-18,288.7766
2021-08-17,288.1699
2021-08-16,287.4753
2021-08-13,286.4493
2021-08-12,286.0166
2021-08-11,286.1188
2021-08-10,286.1153
2021-08-09,285.7590
2021-08-06,285.1131
2021-08-05,284.5994
2021-08-04,284.3313
2021-08-03,284.1497
2021-08-02,284.1049
2021-07-30,283.8420
2021-07-29,283.7841
2021-07-28,283.4776
2021-07-27,282.4931
2021-07-26,281.1923
2021-07-23,279.6977
2021-07-22,278.2318
2021-07-21,277.2217
2021-07-20,277.0797
2021-07-19,277.0999
2021-07-16,276.9245
2021-07-15,276.0157
2021-07-14,274.9204
2021-07-13,273.5055
2021-07-12,272.8442
2021-07-09,271.6736
2021-07-08,271.0038
2021-07-07,269.9240
2021-07-06,268.0506
2021-07-02,266.0643
2021-07-01,264.7900
2021-06-30,263.9432
2021-06-29,262.6691
2021-06-28,261.5160
2021-06-25,260.6998
2021-06-24,259.6924
2021-06-23,258.4766
2021-06-22,257.0283
2021-06-21,255.9820
2021-06-18,255.3453
2021-06-17,254.6092
2021-06-16,254.4987
2021-06-15,253.6253
2021-06-14,252.4749
2021-06-11,251.4838
2021-06-10,250.2538
2021-06-09,249.5684
2021-06-08,248.8370
2021-06-07,247.6442
2021-06-04,247.3331
2021-06-03,247.4443
2021-06-02,248.1426
2021-06-01,248.3530
2021-05-28,247.9227
2021-05-27,247.4488
2021-05-26,246.8308
2021-05-25,246.0179
2021-05-24,244.9494
2021-05-21,244.5254
2021-05-20,244.0559
2021-05-19,244.2802
2021-05-18,245.5838
2021-05-17,245.7615
2021-05-14,245.9169
2021-05-13,246.3221
2021-05-12,247.6512
2021-05-11,249.1950
2021-05-10,250.5551
2021-05-07,250.8215
2021-05-06,250.8644
2021-05-05,252.1757
2021-05-04,253.2021
2021-05-03,254.0346
2021-04-30,254.5153
2021-04-29,255.9113
2021-04-28,256.3542
2021-04-27,256.7589
2021-04-26,256.0371
2021-04-23,255.1384
2021-04-22,254.8749
2021-04-21,254.0382
2021-04-20,253.2961
2021-04-19,252.6365
2021-04-16,251.3067
2021-04-15,249.8406
2021-04-14,248.3885
2021-04-13,246.7145
2021-04-12,244.7166
2021-04-09,242.8373
2021-04-08,240.9469
2021-04-07,238.6584
2021-04-06,236.9570
2021-04-05,234.9217
2021-04-01,233.5053
2021-03-31,232.7218
2021-03-30,232.9922
2021-03-29,233.1869
2021-03-26,232.7479
2021-03-25,233.3245
2021-03-24,233.2010
2021-03-23,232.4879
2021-03-22,231.6959
2021-03-19,232.3215
2021-03-18,232.9204
2021-03-17,233.3123
2021-03-16,232.9983
2021-03-15,232.5859
2021-03-12,232.3733
2021-03-11,232.3234
2021-03-10,232.0525
2021-03-09,231.2708
2021-03-08,231.2254
2021-03-05,231.5035
2021-03-04,232.2527
2021-03-03,233.7829
2021-03-02,234.4559
2021-03-01,234.2061
2021-02-26,234.1460
2021-02-25,235.0388
2021-02-24,236.0075
2021-02-23,237.6487
2021-02-22,239.5850
2021-02-19,240.3844
2021-02-18,239.9633
2021-02-17,239.8793
2021-02-16,239.8827
2021-02-12,239.1912
2021-02-11,238.5877
2021-02-10,237.6636
2021-02-09,236.4856
2021-02-08,235.7356
2021-02-05,234.5368
2021-02-04,233.2744
2021-02-03,231.6366
2021-02-02,230.3160
2021-02-01,228.3205
2021-01-29,227.2568
2021-01-28,225.7518
2021-01-27,223.9960
2021-01-26,221.3234
2021-01-25,219.4100
2021-01-22,217.6752
2021-01-21,216.0044
2021-01-20,214.4869
2021-01-19,214.1748
2021-01-15,214.6638
2021-01-14,215.3121
2021-01-13,215.5779
2021-01-12,216.3192
2021-01-11,216.6787
2021-01-08,216.6839
2021-01-07,216.6440
2021-01-06,217.6179
2021-01-05,219.2202
2021-01-04,220.0569
2020-12-31,219.9181
2020-12-30,219.9314
2020-12-29,219.1697
2020-12-28,218.0008
2020-12-24,216.9820
2020-12-23,216.4046
2020-12-22,215.3263
2020-12-21,214.1011
2020-12-18,213.7363
2020-12-17,213.0612
2020-12-16,211.9541
2020-12-15,211.7292
2020-12-14,211.3629
2020-12-11,211.3703
2020-12-10,212.0515
2020-12-09,212.5050
2020-12-08,212.3122
2020-12-07,212.3388
2020-12-04,212.2832
2020-12-03,212.2483
2020-12-02,212.1196
2020-12-01,211.9029
2020-11-30,211.7195
2020-11-27,211.5858
2020-11-25,211.2571
2020-11-24,210.7980
2020-11-23,211.4533
2020-11-20,211.9546
2020-11-19,212.2919
2020-11-18,212.8847
2020-11-17,213.1091
2020-11-16,212.9694
2020-11-13,213.0690
2020-11-12,212.8633
2020-11-11,212.4250
2020-11-10,212.9487
2020-11-09,213.1251
2020-11-06,211.1570
2020-11-05,209.2295
2020-11-04,206.9222
2020-11-03,205.8648
2020-11-02,206.7989
2020-10-30,207.8527
2020-10-29,209.3143
2020-10-28,210.9754
2020-10-27,212.2145
2020-10-26,212.8672
2020-10-23,213.1683
2020-10-22,213.2770
2020-10-21,213.6516
2020-10-20,214.2874
2020-10-19,214.4755
2020-10-16,213.6911
2020-10-15,212.7906
2020-10-14,212.3603
2020-10-13,210.5376
2020-10-12,208.3715
2020-10-09,206.5878
2020-10-08,206.0693
2020-10-07,205.5938
2020-10-06,205.7710
2020-10-05,205.6007
2020-10-02,205.7443
2020-10-01,205.7483
2020-09-30,204.5465
2020-09-29,204.3437
2020-09-28,203.7398
2020-09-25,202.6653
2020-09-24,202.9632
2020-09-23,204.1405
2020-09-22,203.8101
2020-09-21,204.0305
2020-09-18,206.0296
2020-09-17,207.2399
2020-09-16,209.3237
2020-09-15,209.5472
2020-09-14,210.3040
2020-09-11,212.1477
2020-09-10,213.7506
2020-09-09,214.3469
2020-09-08,216.3505
2020-09-04,219.0412
2020-09-03,220.4395
2020-09-02,219.0341
2020-09-01,217.6021
2020-08-31,216.3927
2020-08-28,214.5869
2020-08-27,212.1205
2020-08-26,210.2688
2020-08-25,209.1067
2020-08-24,208.7369
2020-08-21,207.9136
2020-08-20,207.1117
2020-08-19,207.0810
2020-08-18,206.6150
2020-08-17,206.3687
2020-08-14,206.2716
2020-08-13,206.3371
2020-08-12,206.2680
2020-08-11,207.0935
2020-08-10,207.6935
2020-08-07,207.4370
2020-08-06,206.4261
2020-08-05,205.7410
2020-08-04,204.3423
2020-08-03,202.7928
2020-07-31,201.4800
2020-07-30,201.4367
2020-07-29,202.1292
2020-07-28,202.6467
2020-07-27,203.0358
2020-07-24,203.9806
2020-07-23,205.3656
2020-07-22,205.5740
2020-07-21,205.3879
2020-07-20,204.1826
2020-07-17,204.6083
2020-07-16,205.2448
2020-07-15,205.8188
2020-07-14,205.6082
2020-07-13,206.1030
2020-07-10,204.8768
2020-07-09,203.5667
2020-07-08,201.3713
2020-07-07,200.0605
2020-07-06,198.3752
2020-07-02,196.6706
2020-07-01,195.2779
2020-06-30,194.1325
2020-06-29,193.8859
2020-06-26,194.0450
2020-06-25,193.3734
2020-06-24,192.9757
2020-06-23,191.6564
2020-06-22,189.9366
2020-06-19,189.2158
2020-06-18,187.7210
2020-06-17,186.9004
2020-06-16,185.6716
2020-06-15,184.6389
2020-06-12,185.1988
2020-06-11,184.5763
2020-06-10,183.2477
2020-06-09,182.0623
2020-06-08,181.2997
2020-06-05,180.8194
2020-06-04,180.9602
2020-06-03,180.7641
2020-06-02,180.4103
2020-06-01,180.1028
2020-05-29,180.1020
2020-05-28,180.0594
2020-05-27,180.4435
2020-05-26,181.0315
2020-05-22,180.4039
2020-05-21,180.3274
2020-05-20,179.7494
2020-05-19,179.1724
2020-05-18,178.5300
2020-05-15,177.5874
2020-05-14,177.8981
2020-05-13,178.6103
2020-05-12,178.3853
2020-05-11,177.1809
2020-05-08,176.5070
2020-05-07,175.2833
2020-05-06,173.9646
2020-05-05,172.8100
2020-05-04,171.7180
2020-05-01,171.7238
2020-04-30,171.4443
2020-04-29,170.1844
2020-04-28,170.1271
2020-04-27,169.5388
2020-04-24,168.6010
2020-04-23,168.4454
2020-04-22,167.8070
2020-04-21,167.6215
2020-04-20,166.9334
2020-04-17,165.4079
2020-04-16,162.9159
2020-04-15,161.0072
2020-04-14,159.3521
2020-04-13,157.8103
2020-04-09,156.9426
2020-04-08,155.4426
2020-04-07,153.7602
2020-04-06,150.8467
2020-04-03,149.3128
2020-04-02,148.5794
2020-04-01,148.3915
2020-03-31,147.9125
2020-03-30,145.9277
2020-03-27,145.0237
2020-03-26,144.0697
2020-03-25,143.6362
2020-03-24,142.9948
2020-03-23,143.3392
2020-03-20,145.2339
2020-03-19,145.5839
2020-03-18,146.7179
2020-03-17,149.1469
2020-03-16,151.6784
2020-03-13,154.7724
2020-03-12,156.9140
2020-03-11,160.0127
2020-03-10,161.2131
2020-03-09,162.4551
2020-03-06,165.5388
2020-03-05,166.7690
2020-03-04,167.5204
2020-03-03,167.9053
2020-03-02,167.2147
2020-02-28,168.2270
2020-02-27,172.2849
2020-02-26,174.8590
2020-02-25,176.6079
2020-02-24,177.7637
2020-02-21,180.5824
2020-02-20,180.6600
2020-02-19,179.9283
2020-02-18,178.7914
2020-02-14,178.0477
2020-02-13,177.6534
2020-02-12,177.2086
2020-02-11,176.1197
2020-02-10,173.6833
2020-02-07,172.2471
2020-02-06,170.6510
2020-02-05,169.1102
