timestamp,open,high,low,close,adjusted close,volume,dividend amount
2022-01-14,335.3500,338.0000,303.7500,310.2000,310.2000,367154203,0.0000
2021-12-31,335.1300,344.3000,317.2500,336.3200,336.3200,625743806,0.0000
2021-11-30,331.3550,349.6700,326.3700,330.5900,330.5900,507120518,0.6200
2021-10-29,282.1217,332.0000,280.2500,331.6200,331.0148,516523658,0.0000
2021-09-30,302.8650,305.3200,281.6200,281.9200,281.4055,502931199,0.0000
2021-08-31,286.3600,305.8400,283.7400,301.8800,301.3291,440360333,0.5600
2021-07-30,269.6100,290.1500,269.6000,284.9100,283.8433,522303043,0.0000
2021-06-30,251.2300,271.6500,243.0000,270.9000,269.8858,508388858,0.0000
2021-05-28,253.4000,254.3500,238.0700,249.6800,248.7452,495089530,0.5600
2021-04-30,238.4700,263.1900,238.0501,252.1800,250.6585,568698272,0.0000
2021-03-31,235.9000,241.0500,224.2600,235.7700,234.3475,724981506,0.0000
2021-02-26,235.0600,246.1300,227.8800,232.3800,230.9780,489396912,0.5600
2021-01-29,222.5300,242.6400,211.9400,231.9600,230.0330,647897096,0.0000
2020-12-31,214.5100,227.1800,209.1100,222.4200,220.5722,593966967,0.0000
2020-11-30,204.2900,228.1200,200.1200,214.0700,212.2916,573325190,0.5600
2020-10-30,213.4900,225.2100,199.6200,202.4700,200.2567,631674298,0.0000
2020-09-30,225.5100,232.8600,196.2500,210.3300,208.0308,768528897,0.0000
2020-08-31,211.5200,231.1500,203.1400,225.5300,223.0646,692382980,0.5100
2020-07-31,203.1400,216.3800,197.5100,205.0100,202.2770,769842002,0.0000
2020-06-30,182.5400,204.4000,181.3500,203.5100,200.7970,765012029,0.0000
2020-05-29,175.8000,187.5100,173.8000,183.2500,180.8071,688873081,0.5100
2020-04-30,153.0000,180.4000,150.3600,179.2100,176.3365,984810925,0.0000
2020-03-31,165.3100,175.0000,132.5200,157.7100,155.1813,1612954386,0.0000
2020-02-28,170.4300,190.7000,152.0000,162.0100,159.4123,887894931,0.5100
2020-01-31,158.7800,174.0500,156.5100,170.2300,167.0456,555989763,0.0000
2019-12-31,151.8100,159.5500,146.6500,157.7000,154.7500,452664147,0.0000
2019-11-29,144.2600,152.5000,142.9700,151.3800,148.5482,393028043,0.5100
2019-10-31,139.6600,145.6700,133.2200,143.3700,140.2101,560654410,0.0000
2019-09-30,136.6100,142.3700,134.5100,139.0300,135.9658,477645820,0.0000
2019-08-30,137.0000,140.9400,130.7800,137.8600,134.8216,585509525,0.4600
2019-07-31,136.6300,141.6800,134.6700,136.2700,132.8106,484553299,0.0000
2019-06-28,123.8500,138.4000,119.0100,133.9600,130.5593,508324437,0.0000
2019-05-31,130.5300,130.6500,123.0400,123.6800,120.5403,547218448,0.4600
2019-04-30,118.9500,131.3700,118.1000,130.6000,126.8217,433157868,0.0000
2019-03-29,112.8900,120.8200,108.8000,117.9400,114.5279,589045341,0.0000
2019-02-28,103.7800,113.2400,102.3500,112.0300,108.7889,469095970,0.4600
2019-01-31,99.5500,107.9000,97.2000,104.4300,100.9753,714204787,0.0000
2018-12-31,113.0000,113.4200,93.9600,101.5700,98.2099,944287635,0.0000
2018-11-30,107.0500,112.2400,99.3500,110.8900,107.2216,720228643,0.4600
2018-10-31,114.7500,116.1800,100.1100,106.8100,102.8259,927547942,0.0000
2018-09-28,110.8500,115.2900,107.2300,114.3700,110.1039,480255674,0.0000
2018-08-31,106.0300,112.7800,104.8400,112.3300,108.1400,456630721,0.4200
2018-07-31,98.1000,111.1500,98.0000,106.0800,101.7263,569501573,0.0000
