time,Chaikin A/D
2022-01-14,-1919320175.6505
2022-01-13,-1952177968.2417
2022-01-12,-1911112082.0379
2022-01-11,-1889663384.2259
2022-01-10,-1904732566.7319
2022-01-07,-1945047904.0908
2022-01-06,-1952653649.3045
2022-01-05,-1939291632.7109
2022-01-04,-1902413069.9924
2022-01-03,-1890538046.8866
2021-12-31,-1896589017.9766
2021-12-30,-1883582616.4931
2021-12-29,-1871299159.6462
2021-12-28,-1871038692.8756
2021-12-27,-1863724024.9071
2021-12-23,-1883501291.9582
2021-12-22,-1884894909.5757
2021-12-21,-1907165803.0429
2021-12-20,-1929160911.3468
2021-12-17,-1926182021.7483
2021-12-16,-1960152238.3833
2021-12-15,-1934704813.8287
2021-12-14,-1966511416.4873
2021-12-13,-1957775603.8633
2021-12-10,-1932803059.4536
2021-12-09,-1966629808.4499
2021-12-08,-1954381260.3561
2021-12-07,-1973557855.3178
2021-12-06,-1995001088.2722
2021-12-03,-2015826583.3087
2021-12-02,-2002412786.1655
2021-12-01,-1989901258.7805
2021-11-30,-1961160737.8038
2021-11-29,-1933887637.1997
2021-11-26,-1930491978.6192
2021-11-24,-1913976856.3991
2021-11-23,-1933089174.5782
2021-11-22,-1945229203.9585
2021-11-19,-1915915227.6462
2021-11-18,-1907735753.4255
2021-11-17,-1920252956.6169
2021-11-16,-1911385631.7959
2021-11-15,-1922881485.0672
2021-11-12,-1923864168.3881
2021-11-11,-1940385194.6240
2021-11-10,-1943355053.1778
2021-11-09,-1927382521.1981
2021-11-08,-1920974047.6834
2021-11-05,-1933277889.4009
2021-11-04,-1927637302.4510
2021-11-03,-1950946938.2457
2021-11-02,-1963341103.1588
2021-11-01,-1984289078.1273
2021-10-29,-1988902271.8816
2021-10-28,-2020406260.5133
2021-10-27,-2038911998.4026
2021-10-26,-2061008800.0228
2021-10-25,-2055298234.4442
2021-10-22,-2057686597.5670
2021-10-21,-2054663461.0188
2021-10-20,-2069693704.3699
2021-10-19,-2065133342.7199
2021-10-18,-2064623281.0222
2021-10-15,-2079776145.6889
2021-10-14,-2102061224.5949
2021-10-13,-2124112101.2135
