time,RSI
2022-01-14,30.9892
2022-01-13,43.9639
2022-01-12,42.9082
2022-01-11,34.0720
2022-01-10,27.8486
2022-01-07,31.0033
2022-01-06,29.4617
2022-01-05,39.5768
2022-01-04,50.6143
2022-01-03,51.3617
2021-12-31,55.8739
2021-12-30,61.0691
2021-12-29,60.4757
2021-12-28,63.1010
2021-12-27,55.9466
2021-12-23,53.0600
2021-12-22,48.0270
2021-12-21,41.6924
2021-12-20,37.2401
2021-12-17,37.9075
2021-12-16,53.2535
2021-12-15,43.3764
2021-12-14,49.4866
2021-12-13,62.2592
2021-12-10,54.1151
2021-12-09,53.2064
2021-12-08,54.7472
2021-12-07,49.3656
2021-12-06,34.7268
2021-12-03,47.7043
2021-12-02,43.7259
2021-12-01,54.3636
2021-11-30,54.8359
2021-11-29,54.1184
2021-11-26,53.0768
2021-11-24,56.8786
2021-11-23,58.3801
2021-11-22,76.1720
2021-11-19,74.3304
2021-11-18,69.5613
2021-11-17,71.6014
2021-11-16,67.1882
2021-11-15,72.0172
2021-11-12,67.9870
2021-11-11,64.6028
2021-11-10,73.2709
2021-11-09,80.7199
2021-11-08,81.2853
2021-11-05,84.6324
2021-11-04,81.4373
2021-11-03,84.2712
2021-11-02,82.3009
2021-11-01,85.0934
2021-10-29,81.1038
2021-10-28,81.6345
2021-10-27,75.4660
2021-10-26,70.0236
2021-10-25,67.9230
2021-10-22,70.7526
2021-10-21,66.8983
2021-10-20,72.3151
2021-10-19,71.4355
2021-10-18,66.0548
2021-10-15,64.5058
2021-10-14,60.3633
2021-10-13,53.6791
2021-10-12,54.5063
2021-10-11,50.6544
2021-10-08,56.5264
2021-10-07,55.0421
2021-10-06,37.8576
2021-10-05,33.6455
2021-10-04,38.1472
2021-10-01,23.6831
2021-09-30,27.6373
2021-09-29,25.7403
2021-09-28,31.4518
2021-09-27,43.0775
2021-09-24,48.3788
2021-09-23,50.0087
2021-09-22,44.1737
2021-09-21,41.1559
2021-09-20,42.4324
2021-09-17,64.4837
2021-09-16,63.5932
2021-09-15,62.5630
2021-09-14,53.8691
2021-09-13,47.9605
2021-09-10,50.4639
2021-09-09,58.0455
2021-09-08,55.4401
2021-09-07,59.3472
2021-09-03,59.3156
2021-09-02,62.8628
2021-09-01,64.7790
2021-08-31,69.2194
2021-08-30,64.5744
2021-08-27,61.1796
2021-08-26,66.5850
2021-08-25,76.6582
2021-08-24,78.9979
2021-08-23,77.4724
2021-08-20,74.1113
2021-08-19,55.3623
2021-08-18,69.0146
2021-08-17,68.5725
2021-08-16,72.0556
2021-08-13,64.5375
2021-08-12,56.4340
2021-08-11,58.8991
2021-08-10,66.0136
2021-08-09,70.5992
2021-08-06,67.9753
2021-08-05,64.2248
2021-08-04,62.6248
2021-08-03,60.7078
2021-08-02,64.1895
2021-07-30,61.6859
2021-07-29,65.3669
2021-07-28,75.9135
2021-07-27,77.7159
2021-07-26,77.2406
2021-07-23,75.4546
2021-07-22,71.0226
2021-07-21,62.5038
2021-07-20,60.6582
2021-07-19,63.5658
2021-07-16,74.7624
2021-07-15,74.6728
2021-07-14,75.8677
2021-07-13,69.7814
2021-07-12,75.6037
2021-07-09,71.0374
2021-07-08,75.3979
2021-07-07,85.3927
2021-07-06,84.3709
2021-07-02,79.4511
2021-07-01,75.1057
2021-06-30,80.2439
2021-06-29,77.9497
2021-06-28,73.9519
2021-06-25,74.1551
2021-06-24,74.0553
2021-06-23,73.8345
2021-06-22,69.3128
2021-06-21,64.4029
2021-06-18,64.0639
2021-06-17,57.1764
2021-06-16,68.1779
2021-06-15,69.5319
2021-06-14,66.5419
2021-06-11,66.8094
2021-06-10,60.6150
2021-06-09,59.7365
2021-06-08,63.3112
2021-06-07,53.7544
2021-06-04,48.5889
2021-06-03,41.9074
2021-06-02,48.3794
2021-06-01,56.8207
2021-05-28,56.3013
2021-05-27,56.7589
2021-05-26,57.3824
2021-05-25,58.1318
2021-05-24,51.4214
2021-05-21,51.0313
2021-05-20,44.4537
2021-05-19,34.1919
2021-05-18,44.3262
2021-05-17,44.8488
2021-05-14,42.7325
2021-05-13,33.8930
2021-05-12,34.3544
2021-05-11,37.3445
2021-05-10,47.1265
2021-05-07,49.4895
2021-05-06,36.7866
2021-05-05,41.0400
2021-05-04,44.4229
2021-05-03,49.0527
2021-04-30,40.6708
2021-04-29,52.9159
2021-04-28,54.5118
2021-04-27,71.9032
2021-04-26,72.1855
2021-04-23,66.1592
2021-04-22,75.1975
2021-04-21,73.4159
2021-04-20,71.8087
2021-04-19,81.1529
2021-04-16,80.4576
2021-04-15,78.9647
2021-04-14,78.5273
2021-04-13,78.3337
2021-04-12,76.0609
2021-04-09,74.3089
2021-04-08,74.2166
2021-04-07,69.2919
2021-04-06,69.0775
2021-04-05,63.5202
2021-04-01,57.4297
2021-03-31,47.1345
2021-03-30,48.2973
2021-03-29,54.3063
2021-03-26,43.9940
2021-03-25,51.8264
2021-03-24,58.1497
2021-03-23,57.4894
2021-03-22,40.5782
2021-03-19,42.1468
2021-03-18,45.3892
2021-03-17,54.1255
2021-03-16,54.4672
2021-03-15,51.6798
2021-03-12,49.6846
2021-03-11,51.6022
2021-03-10,55.7614
2021-03-09,48.1677
2021-03-08,45.0568
2021-03-05,41.1552
2021-03-04,34.9126
2021-03-03,42.8925
2021-03-02,52.5817
2021-03-01,50.2702
2021-02-26,39.8729
2021-02-25,40.8480
2021-02-24,35.5582
2021-02-23,35.9991
2021-02-22,48.0857
2021-02-19,65.8339
2021-02-18,61.9390
2021-02-17,60.9529
2021-02-16,71.9630
2021-02-12,70.2845
2021-02-11,73.3352
2021-02-10,74.0872
2021-02-09,70.1710
2021-02-08,74.3040
2021-02-05,73.2862
2021-02-04,74.5280
2021-02-03,71.3930
2021-02-02,76.1132
2021-02-01,69.5855
2021-01-29,72.2332
2021-01-28,71.8392
2021-01-27,78.1142
2021-01-26,72.5756
2021-01-25,69.4728
2021-01-22,66.9686
2021-01-21,63.8553
2021-01-20,51.8400
2021-01-19,42.0581
2021-01-15,41.4347
2021-01-14,46.0702
2021-01-13,41.4047
2021-01-12,46.1161
2021-01-11,50.1999
2021-01-08,50.6301
2021-01-07,40.4900
2021-01-06,35.6997
2021-01-05,44.4685
2021-01-04,57.6675
2020-12-31,55.8083
2020-12-30,67.0865
2020-12-29,71.0395
2020-12-28,68.1286
2020-12-24,62.6201
2020-12-23,68.5691
2020-12-22,67.8868
2020-12-21,57.7943
2020-12-18,61.3027
2020-12-17,65.7219
2020-12-16,53.7082
2020-12-15,55.1174
2020-12-14,49.1415
2020-12-11,38.2042
2020-12-10,42.8850
2020-12-09,54.7934
2020-12-08,50.4462
2020-12-07,51.9577
2020-12-04,51.4669
2020-12-03,52.7274
2020-12-02,53.5445
2020-12-01,52.6393
2020-11-30,51.7008
2020-11-27,53.4444
2020-11-25,54.0127
2020-11-24,42.2854
2020-11-23,44.8198
2020-11-20,47.1578
2020-11-19,45.4787
2020-11-18,49.3889
2020-11-17,52.7673
2020-11-16,50.7884
2020-11-13,53.2193
2020-11-12,54.5600
2020-11-11,47.8558
2020-11-10,50.8093
2020-11-09,68.8034
2020-11-06,66.4633
2020-11-05,66.2327
2020-11-04,56.3963
2020-11-03,34.8085
2020-11-02,35.4319
2020-10-30,33.3088
2020-10-29,34.0356
2020-10-28,38.8541
2020-10-27,45.1133
2020-10-26,49.2281
2020-10-23,51.4326
2020-10-22,49.5367
2020-10-21,48.1965
2020-10-20,52.3354
2020-10-19,60.3701
2020-10-16,60.0531
2020-10-15,56.4450
2020-10-14,66.9773
2020-10-13,66.7120
2020-10-12,62.9522
2020-10-09,53.9468
2020-10-08,52.9668
2020-10-07,48.2149
2020-10-06,50.5602
2020-10-05,48.5110
2020-10-02,49.4095
2020-10-01,55.9778
2020-09-30,49.6587
2020-09-29,51.5310
2020-09-28,53.2372
2020-09-25,45.4495
2020-09-24,40.9846
2020-09-23,48.8069
2020-09-22,45.5044
2020-09-21,35.0556
2020-09-18,39.9725
2020-09-17,36.0130
2020-09-16,46.6599
2020-09-15,43.5327
2020-09-14,37.2410
2020-09-11,40.0877
2020-09-10,46.8369
2020-09-09,38.0565
2020-09-08,36.2596
2020-09-04,45.5590
2020-09-03,73.5198
2020-09-02,72.1063
2020-09-01,69.3168
2020-08-31,73.3134
2020-08-28,76.4552
2020-08-27,71.5330
2020-08-26,65.3604
2020-08-25,57.4353
2020-08-24,61.9449
2020-08-21,60.4052
2020-08-20,52.3443
2020-08-19,57.0639
2020-08-18,54.2647
2020-08-17,52.5069
2020-08-14,50.9752
2020-08-13,52.2018
2020-08-12,44.9224
2020-08-11,47.8711
2020-08-10,55.8600
2020-08-07,62.4683
2020-08-06,59.0248
2020-08-05,64.4530
2020-08-04,63.5937
2020-08-03,60.4721
2020-07-31,50.1325
2020-07-30,43.8164
2020-07-29,46.1366
2020-07-28,47.8232
2020-07-27,44.2895
2020-07-24,42.5720
2020-07-23,51.8473
2020-07-22,55.0523
2020-07-21,62.8056
2020-07-20,50.6631
2020-07-17,49.7597
2020-07-16,51.2415
2020-07-15,58.2212
2020-07-14,53.5234
2020-07-13,71.0200
2020-07-10,70.1145
2020-07-09,76.9324
2020-07-08,71.0875
2020-07-07,72.0853
2020-07-06,70.4963
2020-07-02,67.2321
2020-07-01,64.3714
2020-06-30,57.4476
2020-06-29,54.2533
2020-06-26,62.1515
2020-06-25,59.5628
2020-06-24,67.7774
2020-06-23,68.8799
2020-06-22,61.6644
2020-06-19,67.9680
2020-06-18,62.2790
2020-06-17,64.5960
2020-06-16,61.9489
2020-06-15,48.4889
2020-06-12,62.8364
2020-06-11,71.0599
2020-06-10,68.1643
2020-06-09,62.9419
2020-06-08,58.9536
2020-06-05,51.3606
2020-06-04,56.0856
2020-06-03,57.5607
2020-06-02,56.4302
2020-06-01,53.0536
2020-05-29,53.4679
2020-05-28,49.7698
2020-05-27,48.7756
2020-05-26,61.1648
2020-05-22,56.0051
2020-05-21,61.1338
2020-05-20,60.2594
2020-05-19,59.8642
2020-05-18,61.2358
2020-05-15,52.0483
2020-05-14,49.6060
2020-05-13,58.4350
2020-05-12,67.6241
2020-05-11,63.1444
2020-05-08,67.3493
2020-05-07,66.4596
2020-05-06,64.1937
2020-05-05,62.6053
2020-05-04,55.0750
2020-05-01,57.2941
2020-04-30,64.8314
2020-04-29,56.5213
2020-04-28,61.0604
2020-04-27,62.9812
2020-04-24,57.5352
2020-04-23,61.2022
2020-04-22,58.0061
2020-04-21,61.5459
2020-04-20,67.0049
2020-04-17,72.2968
2020-04-16,68.2016
2020-04-15,65.4623
2020-04-14,63.4513
2020-04-13,58.8988
2020-04-09,61.8982
2020-04-08,61.2892
2020-04-07,66.7444
2020-04-06,58.9722
2020-04-03,53.4599
2020-04-02,49.6835
2020-04-01,50.9938
2020-03-31,58.8336
2020-03-30,51.5420
2020-03-27,50.7638
2020-03-26,47.0484
2020-03-25,47.5400
2020-03-24,42.0247
2020-03-23,33.8490
2020-03-20,40.7469
2020-03-19,36.5669
2020-03-18,30.0040
2020-03-17,31.2230
2020-03-16,31.2230
2020-03-13,35.6187
2020-03-12,33.1335
2020-03-11,40.7453
2020-03-10,41.4922
2020-03-09,33.9127
2020-03-06,41.8187
2020-03-05,44.5908
2020-03-04,46.5612
2020-03-03,50.9725
2020-03-02,43.2333
2020-02-28,27.6058
2020-02-27,34.9238
2020-02-26,40.5967
2020-02-25,45.2444
2020-02-24,35.7665
2020-02-21,57.0536
2020-02-20,65.6905
2020-02-19,68.4282
2020-02-18,64.9272
2020-02-14,61.8975
2020-02-13,61.6829
2020-02-12,66.6510
2020-02-11,78.1375
2020-02-10,72.1038
2020-02-07,71.3696
2020-02-06,69.5094
2020-02-05,76.8210
2020-02-04,70.5416
2020-02-03,61.3685
2020-01-31,66.2973
2020-01-30,71.6511
2020-01-29,62.4374
2020-01-28,53.5554
2020-01-27,46.1290
2020-01-24,70.7509
2020-01-23,67.5117
2020-01-22,74.3000
2020-01-21,72.8374
2020-01-17,76.8850
2020-01-16,70.8332
2020-01-15,66.3674
2020-01-14,70.7039
2020-01-13,66.5384
2020-01-10,72.5783
2020-01-09,70.3379
2020-01-08,62.0524
2020-01-07,64.2160
2020-01-06,56.3484
2020-01-03,63.2801
2020-01-02,65.9903
2019-12-31,59.1017
2019-12-30,74.0011
2019-12-27,77.6517
2019-12-26,72.6653
2019-12-24,72.4310
2019-12-23,77.1958
2019-12-20,75.4468
2019-12-19,64.9085
2019-12-18,67.2343
2019-12-17,76.7183
2019-12-16,75.8103
2019-12-13,69.0744
2019-12-12,63.1685
2019-12-11,62.6454
2019-12-10,61.5277
2019-12-09,60.5938
2019-12-06,60.2783
2019-12-05,56.6035
2019-12-04,57.0584
2019-12-03,45.4395
2019-12-02,75.3529
2019-11-29,78.4740
2019-11-27,80.8649
2019-11-26,78.3627
2019-11-25,74.0870
2019-11-22,74.7715
2019-11-21,72.5901
2019-11-20,81.1691
2019-11-19,81.7178
2019-11-18,80.0087
2019-11-15,77.3234
2019-11-14,71.5640
2019-11-13,70.5780
2019-11-12,68.9882
2019-11-11,65.5663
2019-11-08,59.7887
2019-11-07,59.1538
2019-11-06,62.5173
2019-11-05,66.3618
2019-11-04,65.9217
2019-11-01,64.2057
2019-10-31,67.6479
2019-10-30,63.8911
2019-10-29,66.7207
