time,SlowD,SlowK
2022-01-14,42.9263,36.4907
2022-01-13,41.1718,41.5978
2022-01-12,33.3202,50.6905
2022-01-11,19.1126,31.2271
2022-01-10,11.5866,18.0431
2022-01-07,11.3054,8.0677
2022-01-06,15.3005,8.6490
2022-01-05,23.6642,17.1995
2022-01-04,35.0780,20.0530
2022-01-03,54.3522,33.7400
2021-12-31,73.8332,51.4410
2021-12-30,87.8346,77.8757
2021-12-29,92.1817,92.1830
2021-12-28,86.3798,93.4451
2021-12-27,71.5478,90.9169
2021-12-23,51.2171,74.7773
2021-12-22,31.5542,48.9493
2021-12-21,24.9364,29.9249
2021-12-20,24.3062,15.7884
2021-12-17,34.9305,29.0961
2021-12-16,46.0642,28.0341
2021-12-15,64.2348,47.6612
2021-12-14,78.9071,62.4972
2021-12-13,86.5694,82.5460
2021-12-10,82.7442,91.6781
2021-12-09,67.8868,85.4840
2021-12-08,47.8961,71.0705
2021-12-07,30.3947,47.1059
2021-12-06,20.6998,25.5119
2021-12-03,20.9572,18.5662
2021-12-02,22.3828,18.0212
2021-12-01,24.5680,26.2843
2021-11-30,22.4527,22.8430
2021-11-29,24.3900,24.5768
2021-11-26,31.9665,19.9383
2021-11-24,47.9442,28.6549
2021-11-23,65.6406,47.3063
2021-11-22,77.8146,67.8714
2021-11-19,81.2021,81.7440
2021-11-18,80.2173,83.8284
2021-11-17,71.7697,78.0340
2021-11-16,59.0329,78.7895
2021-11-15,45.1692,58.4856
2021-11-12,43.8852,39.8237
2021-11-11,55.9461,37.1983
2021-11-10,72.1946,54.6336
2021-11-09,84.0480,76.0064
2021-11-08,91.0156,85.9439
2021-11-05,93.5101,90.1937
2021-11-04,95.1611,96.9093
2021-11-03,93.7887,93.4271
2021-11-02,93.1778,95.1469
2021-11-01,88.1193,92.7922
2021-10-29,78.2302,91.5943
2021-10-28,67.8354,79.9715
2021-10-27,65.0794,63.1248
2021-10-26,72.3995,60.4099
2021-10-25,82.4255,71.7034
2021-10-22,88.3176,85.0852
2021-10-21,91.6723,90.4879
2021-10-20,93.4490,89.3797
2021-10-19,92.9577,95.1493
2021-10-18,86.2248,95.8180
2021-10-15,76.8137,87.9058
2021-10-14,72.1078,74.9508
2021-10-13,75.0455,67.5844
2021-10-12,82.9914,73.7882
2021-10-11,88.2899,83.7639
2021-10-08,83.3834,91.4220
2021-10-07,70.9614,89.6837
2021-10-06,49.9846,69.0443
2021-10-05,33.6350,54.1562
2021-10-04,17.0029,26.7533
2021-10-01,11.0329,19.9955
2021-09-30,16.1479,4.2599
2021-09-29,33.4838,8.8432
2021-09-28,53.9561,35.3407
2021-09-27,59.7113,56.2675
2021-09-24,54.4053,70.2601
2021-09-23,43.7834,52.6062
2021-09-22,46.3454,40.3497
2021-09-21,60.2482,38.3944
2021-09-20,76.9507,60.2920
2021-09-17,79.3533,82.0581
2021-09-16,64.3915,88.5019
2021-09-15,39.8471,67.4998
2021-09-14,22.2398,37.1728
2021-09-13,17.3811,14.8685
2021-09-10,21.6495,14.6782
2021-09-09,27.7748,22.5967
2021-09-08,34.7587,27.6737
2021-09-07,45.1520,33.0542
2021-09-03,56.5262,43.5483
2021-09-02,61.3976,58.8535
2021-09-01,55.4075,67.1766
2021-08-31,46.7639,58.1626
2021-08-30,46.5154,40.8832
2021-08-27,60.8980,41.2460
2021-08-26,76.6777,57.4169
2021-08-25,88.2665,84.0310
2021-08-24,86.7202,88.5853
2021-08-23,82.4542,92.1831
2021-08-20,77.6157,79.3923
2021-08-19,82.0009,75.7873
2021-08-18,86.7010,77.6675
2021-08-17,82.9794,92.5480
2021-08-16,66.1411,89.8874
2021-08-13,48.4955,66.5027
2021-08-12,46.3732,42.0332
2021-08-11,60.4284,36.9507
2021-08-10,76.1151,60.1356
2021-08-09,79.1419,84.1991
2021-08-06,66.1298,84.0106
2021-08-05,49.8956,69.2160
2021-08-04,38.2125,45.1626
2021-08-03,36.7077,35.3082
2021-08-02,43.5557,34.1667
2021-07-30,55.6563,40.6481
2021-07-29,71.4323,55.8523
2021-07-28,84.8988,70.4683
2021-07-27,91.1452,87.9764
2021-07-26,86.2806,96.2518
2021-07-23,70.7540,89.2074
2021-07-22,55.7345,73.3826
2021-07-21,47.9898,49.6718
2021-07-20,54.8586,44.1490
2021-07-19,65.9168,50.1486
2021-07-16,72.6154,70.2781
2021-07-15,70.3230,77.3236
2021-07-14,65.0039,70.2445
2021-07-13,67.1425,63.4009
2021-07-12,73.6292,61.3665
2021-07-09,83.7518,76.6602
2021-07-08,89.1654,82.8610
2021-07-07,92.9707,91.7342
2021-07-06,93.7551,92.9012
2021-07-02,94.2194,94.2766
2021-07-01,92.2682,94.0874
2021-06-30,89.4668,94.2943
2021-06-29,85.3073,88.4229
2021-06-28,85.9979,85.6832
2021-06-25,87.8130,81.8157
2021-06-24,88.4673,90.4947
2021-06-23,85.2137,91.1285
2021-06-22,77.6901,83.7786
2021-06-21,73.9920,80.7341
2021-06-18,72.5076,68.5576
2021-06-17,79.4633,72.6843
2021-06-16,87.4690,76.2809
2021-06-15,92.2987,89.4247
2021-06-14,90.5734,96.7015
2021-06-11,86.3877,90.7699
2021-06-10,84.6674,84.2489
2021-06-09,80.2638,84.1443
2021-06-08,67.3492,85.6090
