timestamp,open,high,low,close,adjusted close,volume,dividend amount
2022-01-14,309.4850,323.4100,303.7500,310.2000,310.2000,193141391,0.0000
2022-01-07,335.3500,338.0000,310.0900,314.0400,314.0400,174012812,0.0000
2021-12-31,335.4600,344.3000,335.4300,336.3200,336.3200,84417803,0.0000
2021-12-23,320.0500,336.3900,317.5700,334.6900,334.6900,97516470,0.0000
2021-12-17,340.6800,343.7900,317.2500,323.8000,323.8000,191737796,0.0000
2021-12-10,323.9500,343.0000,319.2300,342.5400,342.5400,146125332,0.0000
2021-12-03,334.9400,339.2800,318.0300,323.0100,323.0100,177395495,0.0000
2021-11-26,344.6200,349.6700,328.1200,329.6800,329.6800,107337225,0.0000
2021-11-19,337.5400,345.1000,334.0340,343.1100,343.1100,101090157,0.6200
2021-11-12,337.3000,338.7200,329.9200,336.7200,336.1055,106622220,0.0000
2021-11-05,331.3550,338.7900,326.3700,336.0600,335.4467,120621826,0.0000
2021-10-29,309.3600,332.0000,306.4600,331.6200,331.0148,159314433,0.0000
2021-10-22,303.5700,311.0900,302.6900,309.1600,308.5958,91315937,0.0000
2021-10-15,292.9200,304.4500,292.3500,304.2100,303.6548,113344507,0.0000
2021-10-08,287.4000,296.6409,280.2500,294.8500,294.3119,122462501,0.0000
2021-10-01,296.1400,296.4700,281.2900,289.1000,288.5724,155541590,0.0000
2021-09-24,296.3300,300.9000,289.5200,299.3500,298.8037,120872685,0.0000
2021-09-17,297.5500,305.3200,294.0800,299.8700,299.3228,134785958,0.0000
2021-09-10,301.0050,302.1400,295.3800,295.7100,295.1704,71791265,0.0000
2021-09-03,301.1150,305.1900,300.1800,301.1400,300.5904,92659391,0.0000
2021-08-27,303.2450,305.6500,296.8300,299.7200,299.1730,101283798,0.0000
2021-08-20,293.1900,305.8400,288.6400,304.3600,303.8046,135072369,0.5600
2021-08-13,289.7500,292.9000,285.2000,292.8500,291.7536,80543547,0.0000
2021-08-06,286.3600,289.6300,283.7400,289.4600,288.3763,80827209,0.0000
2021-07-30,289.0000,290.1500,282.9500,284.9100,283.8433,129074080,0.0000
2021-07-23,278.9335,289.9900,274.4500,289.6700,288.5855,129711825,0.0000
2021-07-16,279.1570,284.1000,276.5800,280.7500,279.6989,116956560,0.0000
2021-07-09,278.0300,280.6945,274.3000,277.9400,276.8994,103360847,0.0000
2021-07-02,266.1850,278.0000,265.9100,277.6500,276.6105,104384023,0.0000
2021-06-25,259.8200,267.8500,257.9200,265.0200,264.0278,117966870,0.0000
2021-06-18,257.9000,262.3000,254.4200,259.4300,258.4587,128993727,0.0000
2021-06-11,249.9800,258.4868,249.8100,257.8900,256.9245,107035149,0.0000
2021-06-04,251.2300,251.6500,243.0000,250.7900,249.8511,93208820,0.0000
2021-05-28,247.7850,252.9400,247.5100,249.6800,248.7452,99588636,0.0000
2021-05-21,246.5500,248.3300,238.6000,245.1700,244.2521,114541724,0.5600
2021-05-14,250.8700,251.7300,238.0700,248.1500,246.6528,153151228,0.0000
2021-05-07,253.4000,254.3500,244.6900,252.4600,250.9368,127807942,0.0000
2021-04-30,261.6600,263.1900,249.0000,252.1800,250.6585,169214799,0.0000
2021-04-23,260.1900,261.7800,255.6400,261.1500,259.5744,114067956,0.0000
2021-04-16,254.7100,261.0000,254.6200,260.7400,259.1669,124563138,0.0000
2021-04-09,242.7600,255.9900,242.7000,255.8500,254.3064,130514397,0.0000
2021-04-01,236.5900,242.8400,231.1000,242.3500,240.8878,123980920,0.0000
2021-03-26,230.2700,241.0500,230.1400,236.4800,235.0532,146927214,0.0000
2021-03-19,234.9600,240.0550,229.3496,230.3500,228.9602,164979946,0.0000
2021-03-12,231.3700,239.1700,227.1300,235.7500,234.3276,150656031,0.0000
2021-03-05,235.9000,237.4700,224.2600,231.6000,230.2027,168775377,0.0000
2021-02-26,237.4200,237.9300,227.8800,232.3800,230.9780,169414358,0.0000
2021-02-19,245.0300,246.1300,240.1800,240.9700,239.5161,90368267,0.5600
2021-02-12,243.1500,245.9200,240.8100,244.9900,242.9547,100112782,0.0000
2021-02-05,235.0600,245.0900,232.4300,242.2000,240.1879,129501505,0.0000
2021-01-29,229.1200,242.6400,224.2200,231.9600,230.0330,243806631,0.0000
2021-01-22,213.7500,230.0700,212.6300,225.9500,224.0729,129180335,0.0000
